Kod teryt.;Nazwa jednostki;Liczba mieszkańców;Liczba wyborców ujętych w rejestrze wyborców
240312;gm. Zebrzydowice;12898;10222
240401;gm. Blachownia;12943;10793
240402;gm. Dąbrowa Zielona;4029;3405
240403;gm. Janów;6010;4948
240404;gm. Kamienica Polska;5578;4655
240405;gm. Kłomnice;13564;11339
240406;gm. Koniecpol;9902;8318
240407;gm. Konopiska;10678;8818
240408;gm. Kruszyna;4941;4040
240409;gm. Lelów;5024;4185
240410;gm. Mstów;10790;8806
240411;gm. Mykanów;14846;11961
240412;gm. Olsztyn;8026;6488
240413;gm. Poczesna;12732;10527
240414;gm. Przyrów;3861;3249
240415;gm. Rędziny;9918;8179
240416;gm. Starcza;2820;2286
240501;m. Knurów;37544;30383
240502;m. Pyskowice;17284;14534
240503;gm. Gierałtowice;11428;9195
240504;gm. Pilchowice;11236;9054
240505;gm. Rudziniec;10482;8680
240506;gm. Sośnicowice;8431;6903
240507;gm. Toszek;9237;7651
240508;gm. Wielowieś;5844;4837
240601;gm. Kłobuck;20491;16931
240602;gm. Krzepice;9286;7734
240603;gm. Lipie;6460;5335
240604;gm. Miedźno;7676;6266
240605;gm. Opatów;6857;5568
240606;gm. Panki;5092;4174
240607;gm. Popów;6015;4928
240608;gm. Przystajń;5950;4868
240609;gm. Wręczyca Wielka;17710;14471
240701;m. Lubliniec;22648;18726
240702;gm. Boronów;3382;2780
240703;gm. Ciasna;7638;6325
240704;gm. Herby;6783;5522
240705;gm. Kochanowice;6928;5600
240706;gm. Koszęcin;11716;9516
240707;gm. Pawonków;6592;5355
240708;gm. Woźniki;9617;7818
240801;m. Łaziska Górne;21191;17345
240802;m. Mikołów;38992;31674
240803;m. Orzesze;19973;15942
240804;gm. Ornontowice;5761;4611
240805;gm. Wyry;7613;5960
240901;m. Myszków;31557;26327
240902;gm. Koziegłowy;14301;11894
240903;gm. Niegowa;5832;4692
240904;gm. Poraj;10839;9023
240905;gm. Żarki;8496;6897
241001;gm. Goczałkowice-Zdrój;6582;5326
241002;gm. Kobiór;4824;3887
241003;gm. Miedźna;15572;12416
241004;gm. Pawłowice;17728;13913
241005;gm. Pszczyna;50778;40361
241006;gm. Suszec;11864;9131
241101;m. Racibórz;51587;43374
241102;gm. Kornowac;5053;4044
241103;gm. Krzanowice;5662;4751
241104;gm. Krzyżanowice;11210;9183
241105;gm. Kuźnia Raciborska;11329;9512
241106;gm. Nędza;7062;5917
241107;gm. Pietrowice Wielkie;6683;5591
241108;gm. Rudnik;5098;4240
241201;gm. Czerwionka-Leszczyny;40605;32982
241202;gm. Gaszowice;9346;7426
241203;gm. Jejkowice;4043;3168
241204;gm. Lyski;9567;7810
241205;gm. Świerklany;11938;9344
241301;m. Kalety;8549;7237
241302;m. Miasteczko Śląskie;7073;5818
241303;m. Radzionków;16564;13739
241304;m. Tarnowskie Góry;58310;48500
241305;gm. Krupski Młyn;3239;2722
241306;gm. Ożarowice;5594;4600
241307;gm. Świerklaniec;11661;9535
241308;gm. Tworóg;7888;6540
241309;gm. Zbrosławice;14849;12301
241401;m. Bieruń;19140;15580
241402;m. Imielin;8616;6920
241403;m. Lędziny;16208;13068
241404;gm. Bojszowy;7519;5912
241405;gm. Chełm Śląski;5942;4838
241501;m. Pszów;13601;11278
241502;m. Radlin;17278;14045
241503;m. Rydułtowy;20646;17055
241504;m. Wodzisław Śląski;46668;38636
241505;gm. Godów;13367;10836
241506;gm. Gorzyce;20459;16385
241507;gm. Lubomia;7822;6394
241508;gm. Marklowice;5458;4325
241509;gm. Mszana;7462;5922
241601;m. Poręba;8583;7205
241602;m. Zawiercie;49826;41984
241603;gm. Irządze;2732;2274
241604;gm. Kroczyce;6358;5178
241605;gm. Łazy;15712;13192
241606;gm. Ogrodzieniec;9264;7799
241607;gm. Pilica;8754;7341
241608;gm. Szczekociny;7988;6711
241609;gm. Włodowice;5284;4379
241610;gm. Żarnowiec;4781;3827
241701;m. Żywiec;31149;25651
