"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców wpisanych z urzędu";"Liczba wyborców wpisanych na wniosek";"Informacja o liczbie wyborców wpisanych ogółem (art. 19) w części A";"Informacja o liczbie wyborców wpisanych § 1 (Z2A)";"Informacja o liczbie wyborców wpisanych § 2 (Z2B)";"Informacja o liczbie wyborców wpisanych § 3 (Z2C)";"Informacja o liczbie wyborców wpisanych w części B (ZUE)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 1) w części A ogółem";"Informacja o liczbie wyborców skreślonych w części A pkt 1 (R41)";"Informacja o liczbie wyborców skreślonych w części A pkt 2 (R42)";"Informacja o liczbie wyborców skreślonych w części A pkt 3 (R43)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 2) w części A (R41b)";"Informacja o liczbie wyborców skreślonych w części B ogółem (RUE)"
"=""121808""";"gm. Tomice";"wadowicki";"Kraków";8027;6234;6205;29;29;27;0;2;0;34;6;26;2;0;0
"=""121809""";"gm. Wadowice";"wadowicki";"Kraków";37112;29993;29742;251;248;207;0;41;3;350;100;209;41;0;0
"=""121810""";"gm. Wieprz";"wadowicki";"Kraków";12403;9628;9595;33;32;27;0;5;1;54;10;39;5;0;0
"Powiat wielicki";"";"";"";125066;97811;96362;1449;1441;1298;12;131;10;946;255;560;131;2;0
"=""121901""";"gm. Biskupice";"wielicki";"Kraków";10280;7933;7772;161;162;148;0;14;1;83;30;39;14;2;0
"=""121902""";"gm. Gdów";"wielicki";"Kraków";18152;14171;13881;290;290;263;11;16;0;151;49;86;16;0;0
"=""121903""";"gm. Kłaj";"wielicki";"Kraków";10555;8465;8291;174;174;163;1;10;0;72;22;40;10;0;0
"=""121904""";"gm. Niepołomice";"wielicki";"Kraków";28060;21798;21533;265;265;254;0;11;0;179;50;118;11;0;0
"=""121905""";"gm. Wieliczka";"wielicki";"Kraków";58019;45444;44885;559;550;470;0;80;9;461;104;277;80;0;0
"Miasto na prawach powiatu";"";"";""
"=""126101""";"m. Kraków";"Kraków";"Kraków";713577;594541;580963;13578;13403;11484;19;1900;175;13034;2024;9110;1900;0;0
"Miasto na prawach powiatu";"";"";""
"=""126201""";"m. Nowy Sącz";"Nowy Sącz";"Nowy Sącz";80441;65071;64576;495;492;321;0;171;3;1193;283;739;171;0;0
"Miasto na prawach powiatu";"";"";""
