"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców wpisanych z urzędu";"Liczba wyborców wpisanych na wniosek";"Informacja o liczbie wyborców wpisanych ogółem (art. 19) w części A";"Informacja o liczbie wyborców wpisanych § 1 (Z2A)";"Informacja o liczbie wyborców wpisanych § 2 (Z2B)";"Informacja o liczbie wyborców wpisanych § 3 (Z2C)";"Informacja o liczbie wyborców wpisanych w części B (ZUE)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 1) w części A ogółem";"Informacja o liczbie wyborców skreślonych w części A pkt 1 (R41)";"Informacja o liczbie wyborców skreślonych w części A pkt 2 (R42)";"Informacja o liczbie wyborców skreślonych w części A pkt 3 (R43)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 2) w części A (R41b)";"Informacja o liczbie wyborców skreślonych w części B ogółem (RUE)"
"=""142511""";"gm. Wierzbica";"radomski";"Radom";9685;7746;7707;39;39;35;0;4;0;133;47;82;4;0;0
"=""142512""";"gm. Wolanów";"radomski";"Radom";8996;7026;6826;200;200;161;13;26;0;70;5;39;26;0;0
"=""142513""";"gm. Zakrzew";"radomski";"Radom";13099;10077;9879;198;198;159;15;24;0;112;15;73;24;0;0
"Powiat siedlecki";"";"";"";81886;65032;64381;651;652;596;12;44;0;733;205;484;44;1;0
"=""142601""";"gm. Domanice";"siedlecki";"Siedlce";2680;2112;2069;43;43;30;2;11;0;39;12;16;11;0;0
"=""142602""";"gm. Korczew";"siedlecki";"Siedlce";2651;2226;2191;35;35;33;0;2;0;22;10;10;2;0;0
"=""142603""";"gm. Kotuń";"siedlecki";"Siedlce";8552;6827;6748;79;79;76;1;2;0;55;22;31;2;0;0
"=""142604""";"gm. Mokobody";"siedlecki";"Siedlce";5017;4061;4004;57;57;51;0;6;0;46;12;28;6;0;0
"=""142605""";"gm. Mordy";"siedlecki";"Siedlce";5854;4752;4694;58;58;56;0;2;0;69;18;49;2;0;0
"=""142606""";"gm. Paprotnia";"siedlecki";"Siedlce";2617;2106;2074;32;32;32;0;0;0;34;7;27;0;0;0
"=""142607""";"gm. Przesmyki";"siedlecki";"Siedlce";3245;2680;2648;32;32;30;0;2;0;50;15;33;2;0;0
"=""142608""";"gm. Siedlce";"siedlecki";"Siedlce";18241;14202;14111;91;91;82;6;3;0;150;36;111;3;0;0
"=""142609""";"gm. Skórzec";"siedlecki";"Siedlce";7884;6150;6094;56;56;53;2;1;0;55;12;42;1;0;0
"=""142610""";"gm. Suchożebry";"siedlecki";"Siedlce";4722;3765;3719;46;46;43;0;3;0;35;10;22;3;0;0
"=""142611""";"gm. Wiśniew";"siedlecki";"Siedlce";5846;4618;4587;31;31;31;0;0;0;51;16;35;0;0;0
"=""142612""";"gm. Wodynie";"siedlecki";"Siedlce";4417;3595;3556;39;40;37;0;3;0;32;8;21;3;1;0
"=""142613""";"gm. Zbuczyn";"siedlecki";"Siedlce";10160;7938;7886;52;52;42;1;9;0;95;27;59;9;0;0
"Powiat sierpecki";"";"";"";51473;41802;41192;610;609;526;4;79;1;596;101;416;79;0;0
"=""142701""";"m. Sierpc";"sierpecki";"Płock";17468;14433;14352;81;81;66;1;14;0;246;23;209;14;0;0
"=""142702""";"gm. Gozdowo";"sierpecki";"Płock";5951;4742;4676;66;66;54;1;11;0;61;18;32;11;0;0
"=""142703""";"gm. Mochowo";"sierpecki";"Płock";6080;4894;4738;156;155;130;1;24;1;64;12;28;24;0;0
"=""142704""";"gm. Rościszewo";"sierpecki";"Płock";4147;3365;3323;42;42;37;1;4;0;26;6;16;4;0;0
"=""142705""";"gm. Sierpc";"sierpecki";"Płock";6894;5490;5430;60;60;58;0;2;0;74;17;55;2;0;0
"=""142706""";"gm. Szczutowo";"sierpecki";"Płock";4342;3504;3405;99;99;92;0;7;0;41;9;25;7;0;0
"=""142707""";"gm. Zawidz";"sierpecki";"Płock";6591;5374;5268;106;106;89;0;17;0;84;16;51;17;0;0
"Powiat sochaczewski";"";"";"";82339;66483;65787;696;695;575;9;111;1;867;117;639;111;0;0
"=""142801""";"m. Sochaczew";"sochaczewski";"Płock";33924;27924;27770;154;154;98;0;56;0;478;55;367;56;0;0
"=""142802""";"gm. Brochów";"sochaczewski";"Płock";4411;3580;3446;134;134;109;0;25;0;50;2;23;25;0;0
"=""142803""";"gm. Iłów";"sochaczewski";"Płock";6139;4974;4908;66;66;57;0;9;0;51;11;31;9;0;0
"=""142804""";"gm. Młodzieszyn";"sochaczewski";"Płock";5521;4456;4412;44;44;34;6;4;0;46;8;34;4;0;0
"=""142805""";"gm. Nowa Sucha";"sochaczewski";"Płock";6692;5258;5185;73;73;68;0;5;0;38;6;27;5;0;0
"=""142806""";"gm. Rybno";"sochaczewski";"Płock";3498;2758;2719;39;39;36;0;3;0;17;7;7;3;0;0
"=""142807""";"gm. Sochaczew";"sochaczewski";"Płock";10785;8424;8369;55;55;50;3;2;0;76;16;58;2;0;0
"=""142808""";"gm. Teresin";"sochaczewski";"Płock";11369;9109;8978;131;130;123;0;7;1;111;12;92;7;0;0
"Powiat sokołowski";"";"";"";54410;44728;44143;585;585;472;22;91;0;814;135;588;91;0;0
"=""142901""";"m. Sokołów Podlaski";"sokołowski";"Siedlce";18714;15260;15087;173;173;97;13;63;0;324;21;240;63;0;0
"=""142902""";"gm. Bielany";"sokołowski";"Siedlce";3755;3009;2958;51;51;51;0;0;0;28;12;16;0;0;0
"=""142903""";"gm. Ceranów";"sokołowski";"Siedlce";2226;1889;1856;33;33;32;0;1;0;27;3;23;1;0;0
"=""142904""";"gm. Jabłonna Lacka";"sokołowski";"Siedlce";4571;3788;3728;60;60;53;0;7;0;103;47;49;7;0;0
"=""142905""";"gm. Kosów Lacki";"sokołowski";"Siedlce";6083;5047;5016;31;31;30;1;0;0;78;13;65;0;0;0
"=""142906""";"gm. Repki";"sokołowski";"Siedlce";5229;4337;4282;55;55;47;0;8;0;64;15;41;8;0;0
"=""142907""";"gm. Sabnie";"sokołowski";"Siedlce";3746;3086;3048;38;38;37;0;1;0;39;4;34;1;0;0
"=""142908""";"gm. Sokołów Podlaski";"sokołowski";"Siedlce";6121;4960;4856;104;104;88;5;11;0;95;14;70;11;0;0
"=""142909""";"gm. Sterdyń";"sokołowski";"Siedlce";3965;3352;3312;40;40;37;3;0;0;56;6;50;0;0;0
"Powiat szydłowiecki";"";"";"";39569;32224;31580;644;643;517;30;96;1;538;53;389;96;0;0
"=""143001""";"gm. Chlewiska";"szydłowiecki";"Radom";6089;5102;4844;258;258;216;11;31;0;71;4;36;31;0;0
"=""143002""";"gm. Jastrząb";"szydłowiecki";"Radom";5230;4217;4092;125;125;104;4;17;0;52;3;32;17;0;0
"=""143003""";"gm. Mirów";"szydłowiecki";"Radom";3916;3079;3007;72;72;60;1;11;0;32;3;18;11;0;0
"=""143004""";"gm. Orońsko";"szydłowiecki";"Radom";5954;4705;4616;89;89;70;5;14;0;69;11;44;14;0;0
"=""143005""";"gm. Szydłowiec";"szydłowiecki";"Radom";18380;15121;15021;100;99;67;9;23;1;314;32;259;23;0;0
"Powiat warszawski zachodni";"";"";"";114162;89648;86252;3396;3371;3153;1;217;25;1652;201;1234;217;0;0
"=""143201""";"gm. Błonie";"warszawski zachodni";"Warszawa";20936;16648;16315;333;333;279;0;54;0;307;68;185;54;0;0
"=""143202""";"gm. Izabelin";"warszawski zachodni";"Warszawa";10295;8278;7859;419;412;400;0;12;7;167;17;138;12;0;0
"=""143203""";"gm. Kampinos";"warszawski zachodni";"Warszawa";4366;3584;3399;185;183;173;0;10;2;43;1;32;10;0;0
"=""143204""";"gm. Leszno";"warszawski zachodni";"Warszawa";9796;7830;7505;325;325;301;0;24;0;143;7;112;24;0;0
"=""143205""";"gm. Łomianki";"warszawski zachodni";"Warszawa";26149;20429;19316;1113;1102;1028;0;74;11;502;65;363;74;0;0
"=""143206""";"gm. Ożarów Mazowiecki";"warszawski zachodni";"Warszawa";24205;18614;18226;388;385;362;0;23;3;277;18;236;23;0;0
"=""143207""";"gm. Stare Babice";"warszawski zachodni";"Warszawa";18415;14265;13632;633;631;610;1;20;2;213;25;168;20;0;0
"Powiat węgrowski";"";"";"";66167;53420;52892;528;527;473;5;49;1;718;143;526;49;0;0
"=""143301""";"m. Węgrów";"węgrowski";"Siedlce";12679;10239;10190;49;49;38;2;9;0;164;21;134;9;0;0
"=""143302""";"gm. Grębków";"węgrowski";"Siedlce";4490;3586;3552;34;33;29;1;3;1;24;3;18;3;0;0
"=""143303""";"gm. Korytnica";"węgrowski";"Siedlce";6234;5039;4981;58;58;54;0;4;0;95;23;68;4;0;0
"=""143304""";"gm. Liw";"węgrowski";"Siedlce";7402;6013;5995;18;18;18;0;0;0;70;15;55;0;0;0
"=""143305""";"gm. Łochów";"węgrowski";"Siedlce";17768;14178;14008;170;170;143;0;27;0;189;40;122;27;0;0
"=""143306""";"gm. Miedzna";"węgrowski";"Siedlce";3959;3273;3233;40;40;40;0;0;0;31;8;23;0;0;0
"=""143307""";"gm. Sadowne";"węgrowski";"Siedlce";5929;4785;4706;79;79;77;0;2;0;56;16;38;2;0;0
"=""143308""";"gm. Stoczek";"węgrowski";"Siedlce";4931;4007;3970;37;37;34;2;1;0;57;11;45;1;0;0
"=""143309""";"gm. Wierzbno";"węgrowski";"Siedlce";2775;2300;2257;43;43;40;0;3;0;32;6;23;3;0;0
"Powiat wołomiński";"";"";"";238817;183424;179652;3772;3759;3378;35;346;13;2479;217;1916;346;0;0
"=""143401""";"m. Kobyłka";"wołomiński";"Warszawa";23466;17802;17453;349;346;326;5;15;3;213;19;179;15;0;0
"=""143402""";"m. Marki";"wołomiński";"Warszawa";33124;24542;24003;539;538;517;0;21;1;296;19;256;21;0;0
"=""143403""";"m. Ząbki";"wołomiński";"Warszawa";34820;25495;24865;630;627;604;0;23;3;378;16;339;23;0;0
"=""143404""";"m. Zielonka";"wołomiński";"Warszawa";16961;13619;13315;304;303;255;0;48;1;264;17;199;48;0;0
"=""143405""";"gm. Dąbrówka";"wołomiński";"Warszawa";8029;6191;6060;131;130;103;23;4;1;61;16;41;4;0;0
"=""143406""";"gm. Jadów";"wołomiński";"Warszawa";7552;6092;5882;210;210;188;0;22;0;92;6;64;22;0;0
"=""143407""";"gm. Klembów";"wołomiński";"Warszawa";9864;7607;7432;175;174;172;0;2;1;76;16;58;2;0;0
"=""143408""";"gm. Poświętne";"wołomiński";"Warszawa";6252;4868;4752;116;116;110;0;6;0;45;5;34;6;0;0
"=""143409""";"gm. Radzymin";"wołomiński";"Warszawa";26515;19860;19282;578;577;536;0;41;1;216;27;148;41;0;0
"=""143410""";"gm. Strachówka";"wołomiński";"Warszawa";2821;2303;2194;109;109;102;0;7;0;38;7;24;7;0;0
"=""143411""";"gm. Tłuszcz";"wołomiński";"Warszawa";19853;15569;15380;189;189;137;7;45;0;168;20;103;45;0;0
"=""143412""";"gm. Wołomin";"wołomiński";"Warszawa";49560;39476;39034;442;440;328;0;112;2;632;49;471;112;0;0
"Powiat wyszkowski";"";"";"";73537;58252;57376;876;873;743;38;92;3;837;155;590;92;0;0
"=""143501""";"gm. Brańszczyk";"wyszkowski";"Ostrołęka";8209;6626;6488;138;136;123;9;4;2;115;32;79;4;0;0
"=""143502""";"gm. Długosiodło";"wyszkowski";"Ostrołęka";7797;6167;6044;123;123;86;5;32;0;99;16;51;32;0;0
"=""143503""";"gm. Rząśnik";"wyszkowski";"Ostrołęka";7042;5518;5435;83;83;71;1;11;0;60;9;40;11;0;0
"=""143504""";"gm. Somianka";"wyszkowski";"Ostrołęka";5653;4472;4362;110;109;106;0;3;1;54;9;42;3;0;0
"=""143505""";"gm. Wyszków";"wyszkowski";"Ostrołęka";38790;30772;30515;257;257;199;23;35;0;446;60;351;35;0;0
"=""143506""";"gm. Zabrodzie";"wyszkowski";"Ostrołęka";6046;4697;4532;165;165;158;0;7;0;63;29;27;7;0;0
"Powiat zwoleński";"";"";"";36643;29651;29280;371;371;290;35;46;0;356;51;259;46;0;0
"=""143601""";"gm. Kazanów";"zwoleński";"Radom";4637;3713;3628;85;85;77;2;6;0;40;5;29;6;0;0
"=""143602""";"gm. Policzna";"zwoleński";"Radom";5735;4739;4623;116;116;103;8;5;0;62;14;43;5;0;0
"=""143603""";"gm. Przyłęk";"zwoleński";"Radom";6175;5012;4945;67;67;44;22;1;0;46;9;36;1;0;0
"=""143604""";"gm. Tczów";"zwoleński";"Radom";4964;3865;3831;34;34;28;1;5;0;39;9;25;5;0;0
"=""143605""";"gm. Zwoleń";"zwoleński";"Radom";15132;12322;12253;69;69;38;2;29;0;169;14;126;29;0;0
"Powiat żuromiński";"";"";"";38777;31528;31278;250;249;209;2;38;1;379;61;280;38;0;0
"=""143701""";"gm. Bieżuń";"żuromiński";"Ciechanów";4936;4039;4005;34;34;22;0;12;0;63;8;43;12;0;0
"=""143702""";"gm. Kuczbork-Osada";"żuromiński";"Ciechanów";4771;3848;3833;15;15;11;0;4;0;35;2;29;4;0;0
"=""143703""";"gm. Lubowidz";"żuromiński";"Ciechanów";6916;5595;5581;14;14;12;0;2;0;74;22;50;2;0;0
"=""143704""";"gm. Lutocin";"żuromiński";"Ciechanów";4436;3577;3565;12;12;11;0;1;0;33;8;24;1;0;0
"=""143705""";"gm. Siemiątkowo";"żuromiński";"Ciechanów";3527;2828;2726;102;102;96;1;5;0;41;3;33;5;0;0
"=""143706""";"gm. Żuromin";"żuromiński";"Ciechanów";14191;11641;11568;73;72;57;1;14;1;133;18;101;14;0;0
"Powiat żyrardowski";"";"";"";72535;58372;57310;1062;1058;867;61;130;5;940;88;722;130;1;0
"=""143801""";"m. Żyrardów";"żyrardowski";"Płock";37223;30183;29881;302;301;223;6;72;1;556;40;444;72;0;0
"=""143802""";"gm. Mszczonów";"żyrardowski";"Płock";11320;9043;8891;152;152;115;4;33;0;131;16;82;33;0;0
"=""143803""";"gm. Puszcza Mariańska";"żyrardowski";"Płock";8467;6764;6644;120;120;109;0;11;0;60;4;45;11;0;0
"=""143804""";"gm. Radziejowice";"żyrardowski";"Płock";5704;4463;4287;176;176;168;7;1;0;74;19;54;1;0;0
"=""143805""";"gm. Wiskitki";"żyrardowski";"Płock";9821;7919;7607;312;309;252;44;13;4;119;9;97;13;1;0
"Miasto na prawach powiatu";"";"";""
"=""146101""";"m. Ostrołęka";"Ostrołęka";"Ostrołęka";51227;40953;40468;485;482;392;0;90;3;1011;156;765;90;0;0
"Miasto na prawach powiatu";"";"";""
"=""146201""";"m. Płock";"Płock";"Płock";113453;93803;93236;567;564;356;7;201;3;1853;255;1397;201;0;0
"Miasto na prawach powiatu";"";"";""
"=""146301""";"m. Radom";"Radom";"Radom";197184;162964;162324;640;639;248;52;339;1;3422;430;2653;339;0;0
"Miasto na prawach powiatu";"";"";""
"=""146401""";"m. Siedlce";"Siedlce";"Siedlce";73856;58908;58387;521;518;392;2;124;3;1234;175;935;124;0;0
"Miasto stołeczne Warszawa";"";"";"";1666621;1342650;1294399;48251;47532;45382;22;2128;721;31710;2233;27349;2128;2;0
"=""146502""";"Bemowo";"Warszawa";"Warszawa";118558;93568;90905;2663;2641;2521;4;116;22;2097;108;1873;116;0;0
"=""146503""";"Białołęka";"Warszawa";"Warszawa";118787;85995;83688;2307;2288;2184;0;104;19;1445;66;1275;104;0;0
"=""146504""";"Bielany";"Warszawa";"Warszawa";124144;102612;99376;3236;3183;3013;1;169;53;2661;225;2267;169;0;0
"=""146505""";"Mokotów";"Warszawa";"Warszawa";203285;167954;161299;6655;6511;6279;0;232;144;4277;272;3773;232;0;0
"=""146506""";"Ochota";"Warszawa";"Warszawa";75101;62196;59547;2649;2614;2543;0;71;36;1762;111;1580;71;1;0
"=""146507""";"Praga-Południe";"Warszawa";"Warszawa";169683;139591;136274;3317;3253;3084;3;166;64;3099;212;2721;166;0;0
"=""146508""";"Praga-Północ";"Warszawa";"Warszawa";57447;48042;46265;1777;1748;1656;5;87;29;1225;89;1049;87;0;0
"=""146509""";"Rembertów";"Warszawa";"Warszawa";22652;18052;17562;490;489;462;0;27;1;368;30;311;27;0;0
"=""146510""";"Śródmieście";"Warszawa";"Warszawa";101613;86843;82856;3987;3890;3764;3;123;98;2823;177;2523;123;1;0
"=""146511""";"Targówek";"Warszawa";"Warszawa";117508;96129;94306;1823;1816;1718;4;94;7;2108;134;1880;94;0;0
"=""146512""";"Ursus";"Warszawa";"Warszawa";56934;43507;41830;1677;1665;1573;0;92;12;903;50;761;92;0;0
"=""146513""";"Ursynów";"Warszawa";"Warszawa";141853;112484;108611;3873;3811;3589;1;221;62;2481;122;2138;221;0;0
"=""146514""";"Wawer";"Warszawa";"Warszawa";74559;58231;56247;1984;1963;1809;0;154;21;1120;276;690;154;0;0
"=""146515""";"Wesoła";"Warszawa";"Warszawa";24267;18896;17948;948;942;893;0;49;6;278;20;209;49;0;0
"=""146516""";"Wilanów";"Warszawa";"Warszawa";39885;28098;26311;1787;1746;1685;0;61;41;373;26;286;61;0;0
"=""146517""";"Włochy";"Warszawa";"Warszawa";40612;31977;30290;1687;1679;1611;0;68;8;681;43;570;68;0;0
"=""146518""";"Wola";"Warszawa";"Warszawa";129359;107359;102370;4989;4937;4700;0;237;52;2981;210;2534;237;0;0
"=""146519""";"Żoliborz";"Warszawa";"Warszawa";50374;41116;38714;2402;2356;2298;1;57;46;1028;62;909;57;0;0
"Powiat brzeski";"";"";"";86186;70530;70144;386;386;293;20;73;0;791;254;464;73;0;0
"=""160101""";"m. Brzeg";"brzeski";"Opole";33546;27802;27667;135;135;86;4;45;0;373;75;253;45;0;0
"=""160102""";"gm. Skarbimierz";"brzeski";"Opole";7774;6179;6117;62;62;41;15;6;0;55;14;35;6;0;0
"=""160103""";"gm. Grodków";"brzeski";"Opole";18802;15236;15198;38;38;31;0;7;0;195;106;82;7;0;0
"=""160104""";"gm. Lewin Brzeski";"brzeski";"Opole";12506;10252;10201;51;51;41;0;10;0;88;34;44;10;0;0
"=""160105""";"gm. Lubsza";"brzeski";"Opole";8755;7146;7084;62;62;58;1;3;0;60;22;35;3;0;0
"=""160106""";"gm. Olszanka";"brzeski";"Opole";4803;3915;3877;38;38;36;0;2;0;20;3;15;2;0;0
"Powiat głubczycki";"";"";"";44095;36638;36389;249;248;176;4;68;1;635;369;198;68;0;0
"=""160201""";"gm. Baborów";"głubczycki";"Opole";5890;4947;4939;8;8;7;0;1;0;29;11;17;1;0;0
"=""160202""";"gm. Branice";"głubczycki";"Opole";6362;5301;5239;62;61;56;1;4;1;184;144;36;4;0;0
"=""160203""";"gm. Głubczyce";"głubczycki";"Opole";21372;17663;17526;137;137;80;3;54;0;299;139;106;54;0;0
"=""160204""";"gm. Kietrz";"głubczycki";"Opole";10471;8727;8685;42;42;33;0;9;0;123;75;39;9;0;0
"Powiat kędzierzyńsko-kozielski";"";"";"";87910;74273;73986;287;287;183;20;84;0;715;200;431;84;0;0
"=""160301""";"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"Opole";55685;47238;47112;126;126;72;11;43;0;551;150;358;43;0;0
"=""160302""";"gm. Bierawa";"kędzierzyńsko-kozielski";"Opole";7438;6185;6105;80;80;45;0;35;0;57;9;13;35;0;0
"=""160303""";"gm. Cisek";"kędzierzyńsko-kozielski";"Opole";5447;4557;4542;15;15;14;0;1;0;31;12;18;1;0;0
"=""160304""";"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"Opole";7300;6109;6089;20;20;14;4;2;0;35;14;19;2;0;0
"=""160305""";"gm. Polska Cerekiew";"kędzierzyńsko-kozielski";"Opole";3959;3410;3390;20;20;16;4;0;0;15;7;8;0;0;0
"=""160306""";"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"Opole";8081;6774;6748;26;26;22;1;3;0;26;8;15;3;0;0
"Powiat kluczborski";"";"";"";62723;52570;52302;268;268;169;5;94;0;570;190;286;94;0;0
"=""160401""";"gm. Byczyna";"kluczborski";"Opole";9051;7484;7425;59;59;42;1;16;0;73;19;38;16;0;0
"=""160402""";"gm. Kluczbork";"kluczborski";"Opole";34117;28785;28659;126;126;71;0;55;0;307;73;179;55;0;0
"=""160403""";"gm. Lasowice Wielkie";"kluczborski";"Opole";6642;5638;5613;25;25;19;4;2;0;28;9;17;2;0;0
"=""160404""";"gm. Wołczyn";"kluczborski";"Opole";12913;10663;10605;58;58;37;0;21;0;162;89;52;21;0;0
"Powiat krapkowicki";"";"";"";60829;50735;50490;245;245;189;0;56;0;415;137;222;56;0;0
"=""160501""";"gm. Gogolin";"krapkowicki";"Opole";12098;9946;9872;74;74;56;0;18;0;76;21;37;18;0;0
"=""160502""";"gm. Krapkowice";"krapkowicki";"Opole";21706;18277;18155;122;122;93;0;29;0;182;64;89;29;0;0
"=""160503""";"gm. Strzeleczki";"krapkowicki";"Opole";7201;5977;5961;16;16;14;0;2;0;39;14;23;2;0;0
"=""160504""";"gm. Walce";"krapkowicki";"Opole";5395;4496;4482;14;14;11;0;3;0;35;14;18;3;0;0
"=""160505""";"gm. Zdzieszowice";"krapkowicki";"Opole";14429;12039;12020;19;19;15;0;4;0;83;24;55;4;0;0
"Powiat namysłowski";"";"";"";41878;34230;33942;288;286;223;10;53;2;337;84;200;53;0;0
"=""160601""";"gm. Domaszowice";"namysłowski";"Opole";3580;2912;2871;41;41;35;3;3;0;26;12;11;3;0;0
"=""160602""";"gm. Namysłów";"namysłowski";"Opole";25454;20754;20616;138;137;98;0;39;1;210;36;135;39;0;0
"=""160603""";"gm. Pokój";"namysłowski";"Opole";5091;4208;4171;37;37;28;5;4;0;40;10;26;4;0;0
"=""160604""";"gm. Świerczów";"namysłowski";"Opole";3360;2825;2775;50;49;41;2;6;1;30;11;13;6;0;0
"=""160605""";"gm. Wilków";"namysłowski";"Opole";4393;3531;3509;22;22;21;0;1;0;31;15;15;1;0;0
"Powiat nyski";"";"";"";132351;110873;110391;482;479;343;39;97;3;991;297;597;97;0;0
"=""160701""";"gm. Głuchołazy";"nyski";"Opole";23197;19551;19472;79;79;49;1;29;0;143;30;84;29;0;0
"=""160702""";"gm. Kamiennik";"nyski";"Opole";3401;2846;2832;14;14;14;0;0;0;18;4;14;0;0;0
"=""160703""";"gm. Korfantów";"nyski";"Opole";8868;7393;7371;22;22;15;3;4;0;57;12;41;4;0;0
"=""160704""";"gm. Łambinowice";"nyski";"Opole";7231;6015;5974;41;41;33;0;8;0;50;15;27;8;0;0
"=""160705""";"gm. Nysa";"nyski";"Opole";54446;45767;45612;155;152;104;2;46;3;521;178;297;46;0;0
"=""160706""";"gm. Otmuchów";"nyski";"Opole";13398;11117;11030;87;87;56;29;2;0;76;17;57;2;0;0
"=""160707""";"gm. Paczków";"nyski";"Opole";12149;10181;10151;30;30;25;0;5;0;69;18;46;5;0;0
"=""160708""";"gm. Pakosławice";"nyski";"Opole";3530;2995;2966;29;29;27;0;2;0;19;11;6;2;0;0
"=""160709""";"gm. Skoroszyce";"nyski";"Opole";6131;5008;4983;25;25;20;4;1;0;38;12;25;1;0;0
"Powiat oleski";"";"";"";63148;52572;52336;236;233;169;7;57;3;493;170;266;57;0;0
"=""160801""";"gm. Dobrodzień";"oleski";"Opole";9568;8000;7978;22;22;21;0;1;0;52;22;29;1;0;0
"=""160802""";"gm. Gorzów Śląski";"oleski";"Opole";7102;5916;5882;34;33;27;2;4;1;36;11;21;4;0;0
"=""160803""";"gm. Olesno";"oleski";"Opole";17205;14456;14385;71;71;46;5;20;0;152;51;81;20;0;0
"=""160804""";"gm. Praszka";"oleski";"Opole";13348;11063;10997;66;64;40;0;24;2;134;20;90;24;0;0
"=""160805""";"gm. Radłów";"oleski";"Opole";4222;3476;3473;3;3;3;0;0;0;10;6;4;0;0;0
"=""160806""";"gm. Rudniki";"oleski";"Opole";8176;6710;6684;26;26;25;0;1;0;54;19;34;1;0;0
"=""160807""";"gm. Zębowice";"oleski";"Opole";3527;2951;2937;14;14;7;0;7;0;55;41;7;7;0;0
"Powiat opolski";"";"";"";118678;98914;98211;703;693;600;18;75;10;747;274;398;75;0;0
"=""160901""";"gm. Chrząstowice";"opolski";"Opole";6710;5573;5499;74;73;69;0;4;1;36;14;18;4;0;0
"=""160902""";"gm. Dąbrowa";"opolski";"Opole";8022;6620;6565;55;55;51;0;4;0;48;16;28;4;0;0
"=""160903""";"gm. Dobrzeń Wielki";"opolski";"Opole";9115;7495;7459;36;36;32;0;4;0;61;18;39;4;0;0
"=""160904""";"gm. Komprachcice";"opolski";"Opole";8688;7304;7257;47;46;40;0;6;1;46;13;27;6;0;0
"=""160905""";"gm. Łubniany";"opolski";"Opole";9455;7822;7725;97;97;95;2;0;0;44;16;28;0;0;0
"=""160906""";"gm. Murów";"opolski";"Opole";5162;4417;4365;52;49;45;3;1;3;27;6;20;1;0;0
"=""160907""";"gm. Niemodlin";"opolski";"Opole";12720;10425;10391;34;34;21;0;13;0;95;26;56;13;0;0
"=""160908""";"gm. Ozimek";"opolski";"Opole";18591;15770;15713;57;55;41;3;11;2;127;43;73;11;0;0
"=""160909""";"gm. Popielów";"opolski";"Opole";7788;6496;6455;41;40;28;0;12;1;46;12;22;12;0;0
"=""160910""";"gm. Prószków";"opolski";"Opole";8717;7225;7177;48;48;46;0;2;0;92;67;23;2;0;0
"=""160911""";"gm. Tarnów Opolski";"opolski";"Opole";9190;7683;7640;43;43;37;6;0;0;41;14;27;0;0;0
"=""160912""";"gm. Tułowice";"opolski";"Opole";4991;4149;4123;26;26;17;0;9;0;36;12;15;9;0;0
"=""160913""";"gm. Turawa";"opolski";"Opole";9529;7935;7842;93;91;78;4;9;2;48;17;22;9;0;0
"Powiat prudnicki";"";"";"";53200;44204;44038;166;164;137;9;18;2;347;136;193;18;0;0
"=""161001""";"gm. Biała";"prudnicki";"Opole";10385;8616;8594;22;22;20;0;2;0;51;21;28;2;0;0
"=""161002""";"gm. Głogówek";"prudnicki";"Opole";12822;10594;10521;73;72;57;9;6;1;81;42;33;6;0;0
"=""161003""";"gm. Lubrza";"prudnicki";"Opole";4295;3507;3487;20;20;19;0;1;0;23;15;7;1;0;0
"=""161004""";"gm. Prudnik";"prudnicki";"Opole";25698;21487;21436;51;50;41;0;9;1;192;58;125;9;0;0
"Powiat strzelecki";"";"";"";71988;59805;59588;217;216;173;13;30;1;468;208;230;30;0;0
"=""161101""";"gm. Izbicko";"strzelecki";"Opole";5295;4357;4343;14;14;14;0;0;0;18;7;11;0;0;0
"=""161102""";"gm. Jemielnica";"strzelecki";"Opole";7260;5986;5977;9;9;9;0;0;0;19;8;11;0;0;0
"=""161103""";"gm. Kolonowskie";"strzelecki";"Opole";5738;4852;4834;18;18;16;0;2;0;21;5;14;2;0;0
"=""161104""";"gm. Leśnica";"strzelecki";"Opole";7472;6209;6191;18;18;17;0;1;0;61;19;41;1;0;0
"=""161105""";"gm. Strzelce Opolskie";"strzelecki";"Opole";28901;23962;23850;112;111;71;13;27;1;223;93;103;27;0;0
"=""161106""";"gm. Ujazd";"strzelecki";"Opole";6337;5084;5049;35;35;35;0;0;0;22;11;11;0;0;0
"=""161107""";"gm. Zawadzkie";"strzelecki";"Opole";10985;9355;9344;11;11;11;0;0;0;104;65;39;0;0;0
"Miasto na prawach powiatu";"";"";""
"=""166101""";"m. Opole";"Opole";"Opole";119230;99105;98105;1000;994;756;7;231;7;1534;298;1005;231;1;0
"Powiat bieszczadzki";"";"";"";21838;17848;17548;300;298;228;6;64;2;380;87;229;64;0;0
"=""180103""";"gm. Czarna";"bieszczadzki";"Krosno";2417;1936;1895;41;41;37;0;4;0;46;3;39;4;0;0
"=""180105""";"gm. Lutowiska";"bieszczadzki";"Krosno";2137;1802;1743;59;58;47;3;8;1;43;2;33;8;0;0
