"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców ujętych w stałym obwodzie w CRW z urzędu na podstawie adresu stałego zameldowania";"Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek";"w tym liczba wyborców posiadających obywatelstwo krajów UE";"w tym liczba wyborców posiadających obywatelstwo UK";"Liczba osób pozbawionych prawa wybierania ogółem";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo krajów UE";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo UK"
"=""142509""";"gm. Przytyk";"radomski";"Radom";7259;5698;5625;73;0;0;14;0;0
"=""142510""";"gm. Skaryszew";"radomski";"Radom";15157;11647;11507;140;0;0;26;0;0
"=""142511""";"gm. Wierzbica";"radomski";"Radom";9310;7410;7381;29;0;0;46;0;0
"=""142512""";"gm. Wolanów";"radomski";"Radom";9002;7010;6856;154;0;0;11;0;0
"=""142513""";"gm. Zakrzew";"radomski";"Radom";13621;10458;10298;160;0;0;18;0;0
"Powiat siedlecki";"";"";"";81222;64075;63496;579;0;0;212;0;0
"=""142601""";"gm. Domanice";"siedlecki";"Siedlce";2600;2029;1995;34;0;0;9;0;0
"=""142602""";"gm. Korczew";"siedlecki";"Siedlce";2461;2105;2078;27;0;0;8;0;0
"=""142603""";"gm. Kotuń";"siedlecki";"Siedlce";8386;6648;6573;75;0;0;20;0;0
"=""142604""";"gm. Mokobody";"siedlecki";"Siedlce";4907;3943;3888;55;0;0;14;0;0
"=""142605""";"gm. Mordy";"siedlecki";"Siedlce";5589;4556;4506;50;0;0;17;0;0
"=""142606""";"gm. Paprotnia";"siedlecki";"Siedlce";2499;2001;1973;28;0;0;9;0;0
"=""142607""";"gm. Przesmyki";"siedlecki";"Siedlce";3039;2516;2493;23;0;0;17;0;0
"=""142608""";"gm. Siedlce";"siedlecki";"Siedlce";18790;14537;14449;88;0;0;38;0;0
"=""142609""";"gm. Skórzec";"siedlecki";"Siedlce";8056;6194;6158;36;0;0;10;0;0
"=""142610""";"gm. Suchożebry";"siedlecki";"Siedlce";4682;3712;3672;40;0;0;8;0;0
"=""142611""";"gm. Wiśniew";"siedlecki";"Siedlce";5868;4632;4600;32;0;0;23;0;0
"=""142612""";"gm. Wodynie";"siedlecki";"Siedlce";4289;3445;3411;34;0;0;11;0;0
"=""142613""";"gm. Zbuczyn";"siedlecki";"Siedlce";10056;7757;7700;57;0;0;28;0;0
"Powiat sierpecki";"";"";"";49098;40021;39531;490;1;0;121;0;0
"=""142701""";"m. Sierpc";"sierpecki";"Płock";16555;13719;13659;60;0;0;28;0;0
"=""142702""";"gm. Gozdowo";"sierpecki";"Płock";5732;4582;4525;57;0;0;18;0;0
"=""142703""";"gm. Mochowo";"sierpecki";"Płock";5844;4707;4588;119;1;0;14;0;0
"=""142704""";"gm. Rościszewo";"sierpecki";"Płock";3966;3208;3176;32;0;0;8;0;0
"=""142705""";"gm. Sierpc";"sierpecki";"Płock";6619;5330;5277;53;0;0;19;0;0
"=""142706""";"gm. Szczutowo";"sierpecki";"Płock";4163;3370;3273;97;0;0;9;0;0
"=""142707""";"gm. Zawidz";"sierpecki";"Płock";6219;5105;5033;72;0;0;25;0;0
"Powiat sochaczewski";"";"";"";80441;64828;64158;670;1;0;114;0;0
"=""142801""";"m. Sochaczew";"sochaczewski";"Płock";31983;26345;26180;165;0;0;47;0;0
"=""142802""";"gm. Brochów";"sochaczewski";"Płock";4391;3541;3419;122;0;0;4;0;0
"=""142803""";"gm. Iłów";"sochaczewski";"Płock";5927;4764;4700;64;0;0;11;0;0
"=""142804""";"gm. Młodzieszyn";"sochaczewski";"Płock";5496;4421;4390;31;0;0;6;0;0
"=""142805""";"gm. Nowa Sucha";"sochaczewski";"Płock";6763;5315;5251;64;0;0;10;0;0
"=""142806""";"gm. Rybno";"sochaczewski";"Płock";3445;2706;2668;38;0;0;5;0;0
"=""142807""";"gm. Sochaczew";"sochaczewski";"Płock";11224;8772;8713;59;0;0;20;0;0
"=""142808""";"gm. Teresin";"sochaczewski";"Płock";11212;8964;8837;127;1;0;11;0;0
"Powiat sokołowski";"";"";"";52028;42640;42168;472;0;0;136;0;0
"=""142901""";"m. Sokołów Podlaski";"sokołowski";"Siedlce";18224;14839;14699;140;0;0;24;0;0
"=""142902""";"gm. Bielany";"sokołowski";"Siedlce";3599;2873;2826;47;0;0;10;0;0
"=""142903""";"gm. Ceranów";"sokołowski";"Siedlce";2008;1707;1682;25;0;0;3;0;0
"=""142904""";"gm. Jabłonna Lacka";"sokołowski";"Siedlce";4323;3559;3512;47;0;0;46;0;0
"=""142905""";"gm. Kosów Lacki";"sokołowski";"Siedlce";5807;4757;4733;24;0;0;13;0;0
"=""142906""";"gm. Repki";"sokołowski";"Siedlce";4895;4067;4026;41;0;0;13;0;0
"=""142907""";"gm. Sabnie";"sokołowski";"Siedlce";3443;2864;2833;31;0;0;5;0;0
"=""142908""";"gm. Sokołów Podlaski";"sokołowski";"Siedlce";6008;4839;4758;81;0;0;16;0;0
"=""142909""";"gm. Sterdyń";"sokołowski";"Siedlce";3721;3135;3099;36;0;0;6;0;0
"Powiat szydłowiecki";"";"";"";38086;31047;30539;508;1;0;60;0;0
"=""143001""";"gm. Chlewiska";"szydłowiecki";"Radom";5802;4821;4611;210;0;0;7;0;0
"=""143002""";"gm. Jastrząb";"szydłowiecki";"Radom";5152;4144;4050;94;0;0;7;0;0
"=""143003""";"gm. Mirów";"szydłowiecki";"Radom";3801;2977;2930;47;0;0;6;0;0
"=""143004""";"gm. Orońsko";"szydłowiecki";"Radom";5867;4609;4545;64;0;0;10;0;0
"=""143005""";"gm. Szydłowiec";"szydłowiecki";"Radom";17464;14496;14403;93;1;0;30;0;0
"Powiat warszawski zachodni";"";"";"";120421;93833;90548;3284;16;1;207;0;0
"=""143201""";"gm. Błonie";"warszawski zachodni";"Warszawa";21085;16678;16398;280;0;0;71;0;0
"=""143202""";"gm. Izabelin";"warszawski zachodni";"Warszawa";10357;8338;8003;335;6;0;13;0;0
"=""143203""";"gm. Kampinos";"warszawski zachodni";"Warszawa";4305;3522;3373;149;1;0;5;0;0
"=""143204""";"gm. Leszno";"warszawski zachodni";"Warszawa";9966;7999;7692;307;0;0;6;0;0
"=""143205""";"gm. Łomianki";"warszawski zachodni";"Warszawa";27918;21781;20670;1110;6;0;72;0;0
"=""143206""";"gm. Ożarów Mazowiecki";"warszawski zachodni";"Warszawa";26773;20085;19699;386;2;0;19;0;0
"=""143207""";"gm. Stare Babice";"warszawski zachodni";"Warszawa";20017;15430;14713;717;1;1;21;0;0
"Powiat węgrowski";"";"";"";64007;51581;51131;450;1;0;151;0;0
"=""143301""";"m. Węgrów";"węgrowski";"Siedlce";12144;9820;9781;39;0;0;21;0;0
"=""143302""";"gm. Grębków";"węgrowski";"Siedlce";4392;3480;3450;30;1;0;5;0;0
"=""143303""";"gm. Korytnica";"węgrowski";"Siedlce";5956;4808;4763;45;0;0;28;0;0
"=""143304""";"gm. Liw";"węgrowski";"Siedlce";7206;5795;5771;24;0;0;16;0;0
"=""143305""";"gm. Łochów";"węgrowski";"Siedlce";17388;13890;13747;143;0;0;46;0;0
"=""143306""";"gm. Miedzna";"węgrowski";"Siedlce";3808;3119;3082;37;0;0;8;0;0
"=""143307""";"gm. Sadowne";"węgrowski";"Siedlce";5749;4656;4589;67;0;0;14;0;0
"=""143308""";"gm. Stoczek";"węgrowski";"Siedlce";4757;3866;3833;33;0;0;10;0;0
"=""143309""";"gm. Wierzbno";"węgrowski";"Siedlce";2607;2147;2115;32;0;0;3;0;0
"Powiat wołomiński";"";"";"";248388;190144;186300;3844;12;0;252;0;0
"=""143401""";"m. Kobyłka";"wołomiński";"Warszawa";25512;19058;18669;389;3;0;15;0;0
"=""143402""";"m. Marki";"wołomiński";"Warszawa";37333;27427;26830;597;1;0;27;0;0
"=""143403""";"m. Ząbki";"wołomiński";"Warszawa";36957;27168;26473;695;3;0;23;0;0
"=""143404""";"m. Zielonka";"wołomiński";"Warszawa";16769;13494;13215;279;1;0;13;0;0
"=""143405""";"gm. Dąbrówka";"wołomiński";"Warszawa";8248;6322;6181;141;1;0;21;0;0
"=""143406""";"gm. Jadów";"wołomiński";"Warszawa";7325;5892;5729;163;0;0;5;0;0
"=""143407""";"gm. Klembów";"wołomiński";"Warszawa";10640;8146;7960;186;1;0;15;0;0
"=""143408""";"gm. Poświętne";"wołomiński";"Warszawa";6379;4923;4804;119;0;0;8;0;0
"=""143409""";"gm. Radzymin";"wołomiński";"Warszawa";28099;21077;20515;562;0;0;40;0;0
"=""143410""";"gm. Strachówka";"wołomiński";"Warszawa";2738;2213;2128;85;0;0;7;0;0
"=""143411""";"gm. Tłuszcz";"wołomiński";"Warszawa";19933;15678;15466;212;0;0;19;0;0
"=""143412""";"gm. Wołomin";"wołomiński";"Warszawa";48455;38746;38330;416;2;0;59;0;0
"Powiat wyszkowski";"";"";"";72997;57501;56749;752;1;0;314;0;0
"=""143501""";"gm. Brańszczyk";"wyszkowski";"Ostrołęka";8023;6409;6296;113;0;0;26;0;0
"=""143502""";"gm. Długosiodło";"wyszkowski";"Ostrołęka";7594;6057;5956;101;0;0;21;0;0
"=""143503""";"gm. Rząśnik";"wyszkowski";"Ostrołęka";6939;5479;5409;70;0;0;12;0;0
"=""143504""";"gm. Somianka";"wyszkowski";"Ostrołęka";5621;4408;4311;97;1;0;10;0;0
"=""143505""";"gm. Wyszków";"wyszkowski";"Ostrołęka";38661;30536;30302;234;0;0;78;0;0
"=""143506""";"gm. Zabrodzie";"wyszkowski";"Ostrołęka";6159;4612;4475;137;0;0;167;0;0
"Powiat zwoleński";"";"";"";35379;28684;28372;312;0;0;74;0;0
"=""143601""";"gm. Kazanów";"zwoleński";"Radom";4458;3583;3509;74;0;0;4;0;0
"=""143602""";"gm. Policzna";"zwoleński";"Radom";5435;4495;4402;93;0;0;21;0;0
"=""143603""";"gm. Przyłęk";"zwoleński";"Radom";5901;4841;4783;58;0;0;19;0;0
"=""143604""";"gm. Tczów";"zwoleński";"Radom";4893;3809;3787;22;0;0;7;0;0
"=""143605""";"gm. Zwoleń";"zwoleński";"Radom";14692;11956;11891;65;0;0;23;0;0
"Powiat żuromiński";"";"";"";36863;30079;29891;188;1;0;69;0;0
"=""143701""";"gm. Bieżuń";"żuromiński";"Ciechanów";4671;3837;3805;32;0;0;9;0;0
"=""143702""";"gm. Kuczbork-Osada";"żuromiński";"Ciechanów";4529;3672;3662;10;0;0;2;0;0
"=""143703""";"gm. Lubowidz";"żuromiński";"Ciechanów";6572;5332;5324;8;0;0;28;0;0
"=""143704""";"gm. Lutocin";"żuromiński";"Ciechanów";4182;3402;3394;8;0;0;8;0;0
"=""143705""";"gm. Siemiątkowo";"żuromiński";"Ciechanów";3385;2690;2611;79;0;0;3;0;0
"=""143706""";"gm. Żuromin";"żuromiński";"Ciechanów";13524;11146;11095;51;1;0;19;0;0
"Powiat żyrardowski";"";"";"";70398;56769;55786;983;5;0;92;0;0
"=""143801""";"m. Żyrardów";"żyrardowski";"Płock";35492;28880;28550;330;1;0;38;0;0
"=""143802""";"gm. Mszczonów";"żyrardowski";"Płock";11040;8856;8703;153;0;0;21;0;0
"=""143803""";"gm. Puszcza Mariańska";"żyrardowski";"Płock";8380;6715;6602;113;0;0;6;0;0
"=""143804""";"gm. Radziejowice";"żyrardowski";"Płock";5944;4631;4473;158;0;0;13;0;0
"=""143805""";"gm. Wiskitki";"żyrardowski";"Płock";9542;7687;7458;229;4;0;14;0;0
"Miasto na prawach powiatu";"";"";""
"=""146101""";"m. Ostrołęka";"Ostrołęka";"Ostrołęka";47803;39091;38741;350;2;0;172;0;0
"Miasto na prawach powiatu";"";"";""
"=""146201""";"m. Płock";"Płock";"Płock";107078;88984;88452;532;1;0;248;0;0
"Miasto na prawach powiatu";"";"";""
"=""146301""";"m. Radom";"Radom";"Radom";186428;154174;153481;693;1;0;455;0;0
"Miasto na prawach powiatu";"";"";""
"=""146401""";"m. Siedlce";"Siedlce";"Siedlce";71770;57298;56835;463;2;0;161;0;0
"Miasto stołeczne Warszawa";"";"";"";1637460;1312420;1265241;47176;555;0;2037;0;0
"=""146502""";"Bemowo";"Warszawa";"Warszawa";116558;91841;89082;2759;19;0;116;0;0
"=""146503""";"Białołęka";"Warszawa";"Warszawa";128845;94533;91974;2559;14;0;72;0;0
"=""146504""";"Bielany";"Warszawa";"Warszawa";117440;96848;93538;3310;43;0;211;0;0
"=""146505""";"Mokotów";"Warszawa";"Warszawa";195408;160040;153598;6439;124;0;228;0;0
"=""146506""";"Ochota";"Warszawa";"Warszawa";70836;58457;56172;2285;25;0;88;0;0
"=""146507""";"Praga-Południe";"Warszawa";"Warszawa";164689;134318;131032;3286;50;0;184;0;0
"=""146508""";"Praga-Północ";"Warszawa";"Warszawa";53538;45057;43375;1682;23;0;80;0;0
"=""146509""";"Rembertów";"Warszawa";"Warszawa";22769;18125;17679;446;1;0;26;0;0
"=""146510""";"Śródmieście";"Warszawa";"Warszawa";93442;79492;75779;3713;67;0;151;0;0
"=""146511""";"Targówek";"Warszawa";"Warszawa";113323;92502;90568;1934;5;0;128;0;0
"=""146512""";"Ursus";"Warszawa";"Warszawa";59671;45683;44052;1631;7;0;52;0;0
"=""146513""";"Ursynów";"Warszawa";"Warszawa";139316;111370;107415;3955;54;0;131;0;0
"=""146514""";"Wawer";"Warszawa";"Warszawa";77495;59946;58060;1886;13;0;257;0;0
"=""146515""";"Wesoła";"Warszawa";"Warszawa";24534;19210;18341;869;5;0;23;0;0
"=""146516""";"Wilanów";"Warszawa";"Warszawa";42333;29682;27904;1778;31;0;28;0;0
"=""146517""";"Włochy";"Warszawa";"Warszawa";41519;32392;30751;1641;8;0;43;0;0
"=""146518""";"Wola";"Warszawa";"Warszawa";125911;102751;97848;4903;40;0;159;0;0
"=""146519""";"Żoliborz";"Warszawa";"Warszawa";49833;40173;38073;2100;26;0;60;0;0
"Powiat brzeski";"";"";"";82450;67555;67233;322;0;0;242;0;0
"=""160101""";"m. Brzeg";"brzeski";"Opole";31217;25988;25870;118;0;0;66;0;0
"=""160102""";"gm. Skarbimierz";"brzeski";"Opole";8099;6375;6324;51;0;0;13;0;0
"=""160103""";"gm. Grodków";"brzeski";"Opole";17871;14570;14537;33;0;0;106;0;0
"=""160104""";"gm. Lewin Brzeski";"brzeski";"Opole";11966;9856;9813;43;0;0;34;0;0
"=""160105""";"gm. Lubsza";"brzeski";"Opole";8585;6975;6928;47;0;0;19;0;0
"=""160106""";"gm. Olszanka";"brzeski";"Opole";4712;3791;3761;30;0;0;4;0;0
"Powiat głubczycki";"";"";"";41467;34516;34313;203;1;0;338;0;0
"=""160201""";"gm. Baborów";"głubczycki";"Opole";5582;4675;4666;9;0;0;8;0;0
"=""160202""";"gm. Branice";"głubczycki";"Opole";5918;4934;4878;56;1;0;119;0;0
"=""160203""";"gm. Głubczyce";"głubczycki";"Opole";20159;16754;16651;103;0;0;131;0;0
"=""160204""";"gm. Kietrz";"głubczycki";"Opole";9808;8153;8118;35;0;0;80;0;0
"Powiat kędzierzyńsko-kozielski";"";"";"";83205;69576;69284;290;1;0;233;0;0
"=""160301""";"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"Opole";51972;43719;43577;142;1;0;178;0;0
"=""160302""";"gm. Bierawa";"kędzierzyńsko-kozielski";"Opole";7329;6027;5958;69;0;0;10;0;0
"=""160303""";"gm. Cisek";"kędzierzyńsko-kozielski";"Opole";5233;4310;4289;21;0;0;14;0;0
"=""160304""";"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"Opole";6978;5799;5780;19;0;0;15;0;0
"=""160305""";"gm. Polska Cerekiew";"kędzierzyńsko-kozielski";"Opole";3747;3169;3154;13;0;0;8;0;0
"=""160306""";"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"Opole";7946;6552;6526;26;0;0;8;0;0
"Powiat kluczborski";"";"";"";59399;49666;49446;220;0;0;168;0;0
"=""160401""";"gm. Byczyna";"kluczborski";"Opole";8574;7063;7020;43;0;0;16;0;0
"=""160402""";"gm. Kluczbork";"kluczborski";"Opole";32504;27331;27230;101;0;0;74;0;0
"=""160403""";"gm. Lasowice Wielkie";"kluczborski";"Opole";6316;5270;5246;24;0;0;14;0;0
"=""160404""";"gm. Wołczyn";"kluczborski";"Opole";12005;10002;9950;52;0;0;64;0;0
"Powiat krapkowicki";"";"";"";57997;48242;48031;211;0;0;134;0;0
"=""160501""";"gm. Gogolin";"krapkowicki";"Opole";11866;9650;9595;55;0;0;23;0;0
"=""160502""";"gm. Krapkowice";"krapkowicki";"Opole";20464;17258;17147;111;0;0;56;0;0
"=""160503""";"gm. Strzeleczki";"krapkowicki";"Opole";7030;5764;5751;13;0;0;15;0;0
"=""160504""";"gm. Walce";"krapkowicki";"Opole";5178;4249;4236;13;0;0;14;0;0
"=""160505""";"gm. Zdzieszowice";"krapkowicki";"Opole";13459;11321;11302;19;0;0;26;0;0
"Powiat namysłowski";"";"";"";40674;33166;32927;239;2;0;77;0;0
"=""160601""";"gm. Domaszowice";"namysłowski";"Opole";3449;2837;2802;35;0;0;8;0;0
"=""160602""";"gm. Namysłów";"namysłowski";"Opole";24914;20227;20115;112;1;0;37;0;0
"=""160603""";"gm. Pokój";"namysłowski";"Opole";4913;4049;4015;34;0;0;9;0;0
"=""160604""";"gm. Świerczów";"namysłowski";"Opole";3189;2664;2624;40;1;0;7;0;0
"=""160605""";"gm. Wilków";"namysłowski";"Opole";4209;3389;3371;18;0;0;16;0;0
"Powiat nyski";"";"";"";124828;104657;104244;413;3;0;301;0;0
"=""160701""";"gm. Głuchołazy";"nyski";"Opole";21623;18243;18199;44;0;0;31;0;0
"=""160702""";"gm. Kamiennik";"nyski";"Opole";3135;2636;2626;10;0;0;4;0;0
"=""160703""";"gm. Korfantów";"nyski";"Opole";8460;7016;6996;20;0;0;10;0;0
"=""160704""";"gm. Łambinowice";"nyski";"Opole";6772;5676;5625;51;0;0;13;0;0
"=""160705""";"gm. Nysa";"nyski";"Opole";51496;43295;43144;151;3;0;176;0;0
"=""160706""";"gm. Otmuchów";"nyski";"Opole";12663;10531;10474;57;0;0;23;0;0
"=""160707""";"gm. Paczków";"nyski";"Opole";11401;9619;9589;30;0;0;18;0;0
"=""160708""";"gm. Pakosławice";"nyski";"Opole";3333;2796;2771;25;0;0;12;0;0
"=""160709""";"gm. Skoroszyce";"nyski";"Opole";5945;4845;4820;25;0;0;14;0;0
"Powiat oleski";"";"";"";60731;50245;50031;214;2;0;180;0;0
"=""160801""";"gm. Dobrodzień";"oleski";"Opole";9151;7634;7612;22;0;0;24;0;0
"=""160802""";"gm. Gorzów Śląski";"oleski";"Opole";6857;5656;5616;40;0;0;9;0;0
"=""160803""";"gm. Olesno";"oleski";"Opole";16648;13880;13820;60;0;0;50;0;0
"=""160804""";"gm. Praszka";"oleski";"Opole";12726;10522;10466;56;2;0;24;0;0
"=""160805""";"gm. Radłów";"oleski";"Opole";4092;3344;3340;4;0;0;9;0;0
"=""160806""";"gm. Rudniki";"oleski";"Opole";7834;6405;6388;17;0;0;22;0;0
"=""160807""";"gm. Zębowice";"oleski";"Opole";3423;2804;2789;15;0;0;42;0;0
"Powiat opolski";"";"";"";116623;96391;95768;623;8;0;340;0;0
"=""160901""";"gm. Chrząstowice";"opolski";"Opole";6836;5603;5538;65;1;0;11;0;0
"=""160902""";"gm. Dąbrowa";"opolski";"Opole";7985;6550;6494;56;0;0;20;0;0
"=""160903""";"gm. Dobrzeń Wielki";"opolski";"Opole";9076;7344;7320;24;0;0;19;0;0
"=""160904""";"gm. Komprachcice";"opolski";"Opole";8684;7199;7163;36;1;0;18;0;0
"=""160905""";"gm. Łubniany";"opolski";"Opole";9567;7897;7811;86;0;0;14;0;0
"=""160906""";"gm. Murów";"opolski";"Opole";4990;4231;4179;52;2;0;7;0;0
"=""160907""";"gm. Niemodlin";"opolski";"Opole";12145;9998;9968;30;0;0;22;0;0
"=""160908""";"gm. Ozimek";"opolski";"Opole";17726;14883;14831;52;2;0;41;0;0
"=""160909""";"gm. Popielów";"opolski";"Opole";7590;6309;6272;37;1;0;17;0;0
"=""160910""";"gm. Prószków";"opolski";"Opole";8767;7117;7088;29;0;0;125;0;0
"=""160911""";"gm. Tarnów Opolski";"opolski";"Opole";9053;7474;7430;44;0;0;15;0;0
"=""160912""";"gm. Tułowice";"opolski";"Opole";4775;3996;3974;22;0;0;12;0;0
"=""160913""";"gm. Turawa";"opolski";"Opole";9429;7790;7700;90;1;0;19;0;0
"Powiat prudnicki";"";"";"";50294;41728;41591;137;1;0;124;0;0
"=""161001""";"gm. Biała";"prudnicki";"Opole";9938;8177;8158;19;0;0;20;0;0
"=""161002""";"gm. Głogówek";"prudnicki";"Opole";12253;10139;10080;59;1;0;39;0;0
"=""161003""";"gm. Lubrza";"prudnicki";"Opole";4129;3346;3329;17;0;0;13;0;0
"=""161004""";"gm. Prudnik";"prudnicki";"Opole";23974;20066;20024;42;0;0;52;0;0
"Powiat strzelecki";"";"";"";69236;57019;56820;199;1;0;250;0;0
"=""161101""";"gm. Izbicko";"strzelecki";"Opole";5216;4224;4213;11;0;0;9;0;0
"=""161102""";"gm. Jemielnica";"strzelecki";"Opole";7202;5867;5859;8;0;0;11;0;0
"=""161103""";"gm. Kolonowskie";"strzelecki";"Opole";5592;4662;4644;18;0;0;6;0;0
"=""161104""";"gm. Leśnica";"strzelecki";"Opole";7167;5924;5907;17;0;0;13;0;0
"=""161105""";"gm. Strzelce Opolskie";"strzelecki";"Opole";27522;22703;22604;99;1;0;128;0;0
"=""161106""";"gm. Ujazd";"strzelecki";"Opole";6237;4960;4931;29;0;0;10;0;0
"=""161107""";"gm. Zawadzkie";"strzelecki";"Opole";10300;8679;8662;17;0;0;73;0;0
"Miasto na prawach powiatu";"";"";""
"=""166101""";"m. Opole";"Opole";"Opole";114686;94893;93876;1017;7;0;327;0;0
"Powiat bieszczadzki";"";"";"";20960;17281;17036;245;2;0;93;0;0
"=""180103""";"gm. Czarna";"bieszczadzki";"Krosno";2326;1889;1856;33;0;0;6;0;0
"=""180105""";"gm. Lutowiska";"bieszczadzki";"Krosno";2034;1742;1695;47;1;0;2;0;0
"=""180108""";"gm. Ustrzyki Dolne";"bieszczadzki";"Krosno";16600;13650;13485;165;1;0;85;0;0
"Powiat brzozowski";"";"";"";64559;51966;51621;345;1;0;200;0;0
"=""180201""";"gm. Brzozów";"brzozowski";"Krosno";26256;21059;20896;163;0;0;101;0;0
"=""180202""";"gm. Domaradz";"brzozowski";"Krosno";5972;4769;4736;33;1;0;12;0;0
"=""180203""";"gm. Dydnia";"brzozowski";"Krosno";7755;6362;6325;37;0;0;26;0;0
"=""180204""";"gm. Haczów";"brzozowski";"Krosno";9050;7274;7242;32;0;0;21;0;0
"=""180205""";"gm. Jasienica Rosielna";"brzozowski";"Krosno";7747;6127;6082;45;0;0;16;0;0
"=""180206""";"gm. Nozdrzec";"brzozowski";"Krosno";7779;6375;6340;35;0;0;24;0;0
"Powiat dębicki";"";"";"";131815;105654;105301;353;4;0;415;0;0
"=""180301""";"m. Dębica";"dębicki";"Rzeszów";42183;34747;34647;100;4;0;225;0;0
"=""180302""";"gm. Brzostek";"dębicki";"Rzeszów";12808;10266;10236;30;0;0;28;0;0
"=""180303""";"gm. Czarna";"dębicki";"Rzeszów";13268;10339;10285;54;0;0;29;0;0
"=""180304""";"gm. Dębica";"dębicki";"Rzeszów";25564;20268;20215;53;0;0;42;0;0
"=""180305""";"gm. Jodłowa";"dębicki";"Rzeszów";5287;4221;4199;22;0;0;9;0;0
"=""180306""";"gm. Pilzno";"dębicki";"Rzeszów";18300;14468;14431;37;0;0;42;0;0
"=""180307""";"gm. Żyraków";"dębicki";"Rzeszów";14405;11345;11288;57;0;0;40;0;0
"Powiat jarosławski";"";"";"";116092;94672;94004;668;0;0;358;0;0
"=""180401""";"m. Jarosław";"jarosławski";"Przemyśl";34442;28895;28660;235;0;0;115;0;0
"=""180402""";"m. Radymno";"jarosławski";"Przemyśl";5015;4210;4157;53;0;0;8;0;0
"=""180403""";"gm. Chłopice";"jarosławski";"Przemyśl";5441;4439;4420;19;0;0;7;0;0
"=""180404""";"gm. Jarosław";"jarosławski";"Przemyśl";13025;10462;10428;34;0;0;20;0;0
"=""180405""";"gm. Laszki";"jarosławski";"Przemyśl";6740;5433;5391;42;0;0;25;0;0
"=""180406""";"gm. Pawłosiów";"jarosławski";"Przemyśl";8369;6838;6788;50;0;0;15;0;0
"=""180407""";"gm. Pruchnik";"jarosławski";"Przemyśl";9552;7663;7618;45;0;0;25;0;0
"=""180408""";"gm. Radymno";"jarosławski";"Przemyśl";11118;8920;8850;70;0;0;115;0;0
"=""180409""";"gm. Rokietnica";"jarosławski";"Przemyśl";4284;3431;3423;8;0;0;8;0;0
"=""180410""";"gm. Roźwienica";"jarosławski";"Przemyśl";6201;4974;4950;24;0;0;6;0;0
"=""180411""";"gm. Wiązownica";"jarosławski";"Przemyśl";11905;9407;9319;88;0;0;14;0;0
"Powiat jasielski";"";"";"";110069;90578;90165;412;2;0;316;0;0
"=""180501""";"m. Jasło";"jasielski";"Krosno";32484;27517;27349;168;1;0;82;0;0
"=""180502""";"gm. Brzyska";"jasielski";"Krosno";6487;5209;5192;17;0;0;4;0;0
"=""180503""";"gm. Dębowiec";"jasielski";"Krosno";8913;7043;7003;39;0;0;120;0;0
"=""180504""";"gm. Jasło";"jasielski";"Krosno";16155;13180;13151;29;0;0;26;0;0
"=""180505""";"gm. Kołaczyce";"jasielski";"Krosno";8754;7169;7138;31;0;0;14;0;0
"=""180506""";"gm. Krempna";"jasielski";"Krosno";1803;1491;1478;13;0;0;3;0;0
"=""180507""";"gm. Nowy Żmigród";"jasielski";"Krosno";8834;7246;7208;38;0;0;16;0;0
"=""180508""";"gm. Osiek Jasielski";"jasielski";"Krosno";5297;4240;4217;23;1;0;11;0;0
"=""180509""";"gm. Skołyszyn";"jasielski";"Krosno";12217;10023;10008;15;0;0;29;0;0
"=""180511""";"gm. Tarnowiec";"jasielski";"Krosno";9125;7460;7421;39;0;0;11;0;0
"Powiat kolbuszowski";"";"";"";61712;49945;49765;180;0;0;157;0;0
"=""180601""";"gm. Cmolas";"kolbuszowski";"Tarnobrzeg";8091;6491;6472;19;0;0;22;0;0
"=""180602""";"gm. Kolbuszowa";"kolbuszowski";"Tarnobrzeg";24172;19901;19848;53;0;0;55;0;0
"=""180603""";"gm. Majdan Królewski";"kolbuszowski";"Tarnobrzeg";9844;7903;7875;28;0;0;22;0;0
"=""180604""";"gm. Niwiska";"kolbuszowski";"Tarnobrzeg";6162;4881;4856;25;0;0;5;0;0
"=""180605""";"gm. Raniżów";"kolbuszowski";"Tarnobrzeg";7047;5613;5591;22;0;0;32;0;0
"=""180606""";"gm. Dzikowiec";"kolbuszowski";"Tarnobrzeg";6396;5156;5123;33;0;0;21;0;0
"Powiat krośnieński";"";"";"";110169;88923;88492;430;0;0;373;0;0
"=""180701""";"gm. Chorkówka";"krośnieński";"Krosno";13449;10827;10794;32;0;0;33;0;0
"=""180702""";"gm. Dukla";"krośnieński";"Krosno";14124;11494;11425;69;0;0;45;0;0
"=""180703""";"gm. Iwonicz-Zdrój";"krośnieński";"Krosno";10471;8354;8291;63;0;0;144;0;0
"=""180704""";"gm. Jedlicze";"krośnieński";"Krosno";14977;12123;12085;38;0;0;28;0;0
"=""180705""";"gm. Korczyna";"krośnieński";"Krosno";11192;8983;8920;63;0;0;25;0;0
"=""180706""";"gm. Krościenko Wyżne";"krośnieński";"Krosno";5487;4444;4429;15;0;0;12;0;0
