KOD TERYTORIALNY;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
303003;gm. Nekla;wrzesiński;Konin;7364;5842;5797;45
303004;gm. Pyzdry;wrzesiński;Konin;6982;5611;5542;69
303005;gm. Września;wrzesiński;Konin;44843;35809;35745;64
Powiat złotowski;;;;67843;53958;53681;277
303101;m. Złotów;złotowski;Piła;17648;14399;14351;48
303102;gm. Jastrowie;złotowski;Piła;11127;8803;8780;23
303103;gm. Krajenka;złotowski;Piła;7451;5871;5848;23
303104;gm. Lipka;złotowski;Piła;5515;4331;4309;22
303105;gm. Okonek;złotowski;Piła;8490;6833;6802;31
303106;gm. Tarnówka;złotowski;Piła;3072;2383;2334;49
303107;gm. Zakrzewo;złotowski;Piła;4979;3964;3918;46
303108;gm. Złotów;złotowski;Piła;9561;7374;7339;35
Miasto na prawach powiatu;;;;;;;
306101;m. Kalisz;Kalisz;Kalisz;94022;78109;77730;379
Miasto na prawach powiatu;;;;;;;
306201;m. Konin;Konin;Konin;69876;58886;58725;161
Miasto na prawach powiatu;;;;;;;
306301;m. Leszno;Leszno;Leszno;59815;48958;48723;235
Miasto na prawach powiatu;;;;;;;
306401;m. Poznań;Poznań;Poznań;480996;395094;388162;6932
Powiat białogardzki;;;;44934;36543;36194;349
320101;m. Białogard;białogardzki;Koszalin;22223;18316;18134;182
320102;gm. Białogard;białogardzki;Koszalin;7347;5940;5888;52
