KOD TERYTORIALNY;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
Powiat bolesławiecki;;;;85788;69865;69381;484
020101;m. Bolesławiec;bolesławiecki;Jelenia Góra;36307;30221;30142;79
020102;gm. Bolesławiec;bolesławiecki;Jelenia Góra;14136;11303;11255;48
020103;gm. Gromadka;bolesławiecki;Jelenia Góra;5331;4392;4256;136
020104;gm. Nowogrodziec;bolesławiecki;Jelenia Góra;14827;11804;11759;45
020105;gm. Osiecznica;bolesławiecki;Jelenia Góra;6704;5374;5246;128
020106;gm. Warta Bolesławiecka;bolesławiecki;Jelenia Góra;8483;6771;6723;48
Powiat dzierżoniowski;;;;96754;80863;80415;448
020201;m. Bielawa;dzierżoniowski;Wałbrzych;28720;24340;24218;122
020202;m. Dzierżoniów;dzierżoniowski;Wałbrzych;31146;26113;26059;54
020203;m. Pieszyce;dzierżoniowski;Wałbrzych;9110;7488;7363;125
020204;m. Piława Górna;dzierżoniowski;Wałbrzych;6051;5044;5023;21
020205;gm. Dzierżoniów;dzierżoniowski;Wałbrzych;8999;7374;7360;14
020206;gm. Łagiewniki;dzierżoniowski;Wałbrzych;7365;5989;5911;78
020207;gm. Niemcza;dzierżoniowski;Wałbrzych;5363;4515;4481;34
Powiat głogowski;;;;85021;69108;68550;558
020301;m. Głogów;głogowski;Legnica;63162;51917;51709;208
020302;gm. Głogów;głogowski;Legnica;6736;5325;5229;96
020303;gm. Jerzmanowa;głogowski;Legnica;5137;3949;3820;129
020304;gm. Kotla;głogowski;Legnica;4378;3445;3415;30
020305;gm. Pęcław;głogowski;Legnica;2198;1754;1734;20
020306;gm. Żukowice;głogowski;Legnica;3410;2718;2643;75
Powiat górowski;;;;34109;27708;27388;320
020401;gm. Góra;górowski;Wrocław;19222;15609;15523;86
020402;gm. Jemielno;górowski;Wrocław;3024;2426;2387;39
020403;gm. Niechlów;górowski;Wrocław;4737;3853;3799;54
020404;gm. Wąsosz;górowski;Wrocław;7126;5820;5679;141
Powiat jaworski;;;;49066;40542;40264;278
020501;m. Jawor;jaworski;Jelenia Góra;22073;18573;18498;75
020502;gm. Bolków;jaworski;Jelenia Góra;10112;8308;8274;34
020503;gm. Męcinka;jaworski;Jelenia Góra;4916;3985;3920;65
020504;gm. Mściwojów;jaworski;Jelenia Góra;4034;3229;3190;39
020505;gm. Paszowice;jaworski;Jelenia Góra;3923;3225;3197;28
020506;gm. Wądroże Wielkie;jaworski;Jelenia Góra;4008;3222;3185;37
Powiat karkonoski;;;;60585;50270;49189;1081
020601;m. Karpacz;karkonoski;Jelenia Góra;4526;3875;3612;263
020602;m. Kowary;karkonoski;Jelenia Góra;10055;8422;8366;56
020603;m. Piechowice;karkonoski;Jelenia Góra;5944;4999;4892;107
020604;m. Szklarska Poręba;karkonoski;Jelenia Góra;5854;5006;4831;175
020605;gm. Janowice Wielkie;karkonoski;Jelenia Góra;4147;3342;3276;66
020606;gm. Jeżów Sudecki;karkonoski;Jelenia Góra;7227;5837;5744;93
020607;gm. Mysłakowice;karkonoski;Jelenia Góra;9734;8022;7909;113
020608;gm. Podgórzyn;karkonoski;Jelenia Góra;7938;6544;6406;138
020609;gm. Stara Kamienica;karkonoski;Jelenia Góra;5160;4223;4153;70
Powiat kamiennogórski;;;;42135;34936;34768;168
020701;m. Kamienna Góra;kamiennogórski;Jelenia Góra;18188;15359;15312;47
020702;gm. Kamienna Góra;kamiennogórski;Jelenia Góra;8891;7040;7001;39
020703;gm. Lubawka;kamiennogórski;Jelenia Góra;10641;8896;8837;59
020704;gm. Marciszów;kamiennogórski;Jelenia Góra;4415;3641;3618;23
Powiat kłodzki;;;;152490;127520;125755;1765
020801;m. Duszniki-Zdrój;kłodzki;Wałbrzych;4371;3742;3647;95
020802;m. Kłodzko;kłodzki;Wałbrzych;24977;21068;20853;215
020803;m. Kudowa-Zdrój;kłodzki;Wałbrzych;9472;7964;7835;129
020804;m. Nowa Ruda;kłodzki;Wałbrzych;21272;18032;17960;72
020805;m. Polanica-Zdrój;kłodzki;Wałbrzych;6149;5312;5119;193
020806;gm. Bystrzyca Kłodzka;kłodzki;Wałbrzych;18088;15148;14878;270
020807;gm. Kłodzko;kłodzki;Wałbrzych;16846;13685;13599;86
020808;gm. Lądek-Zdrój;kłodzki;Wałbrzych;7987;6759;6597;162
020809;gm. Lewin Kłodzki;kłodzki;Wałbrzych;1942;1572;1502;70
020810;gm. Międzylesie;kłodzki;Wałbrzych;7126;5836;5760;76
020811;gm. Nowa Ruda;kłodzki;Wałbrzych;11398;9423;9320;103
020812;gm. Radków;kłodzki;Wałbrzych;8793;7259;7174;85
020813;gm. Stronie Śląskie;kłodzki;Wałbrzych;6960;5904;5748;156
020814;gm. Szczytna;kłodzki;Wałbrzych;7109;5816;5763;53
Powiat legnicki;;;;53346;42973;42273;700
020901;m. Chojnów;legnicki;Legnica;12544;10445;10399;46
020902;gm. Chojnów;legnicki;Legnica;9308;7549;7395;154
020903;gm. Krotoszyce;legnicki;Legnica;3216;2589;2534;55
020904;gm. Kunice;legnicki;Legnica;6682;5283;5134;149
020905;gm. Legnickie Pole;legnicki;Legnica;5121;3873;3769;104
020906;gm. Miłkowice;legnicki;Legnica;6577;5261;5126;135
020907;gm. Prochowice;legnicki;Legnica;7308;5919;5873;46
020908;gm. Ruja;legnicki;Legnica;2590;2054;2043;11
Powiat lubański;;;;52398;43493;43061;432
021001;m. Lubań;lubański;Jelenia Góra;19854;16816;16719;97
021002;m. Świeradów-Zdrój;lubański;Jelenia Góra;3965;3329;3272;57
021003;gm. Leśna;lubański;Jelenia Góra;9764;7963;7867;96
021004;gm. Lubań;lubański;Jelenia Góra;6456;5193;5131;62
021005;gm. Olszyna;lubański;Jelenia Góra;6311;5233;5157;76
021006;gm. Platerówka;lubański;Jelenia Góra;1591;1308;1288;20
021007;gm. Siekierczyn;lubański;Jelenia Góra;4457;3651;3627;24
Powiat lubiński;;;;101345;82931;82082;849
021101;m. Lubin;lubiński;Legnica;68372;56520;56164;356
021102;gm. Lubin;lubiński;Legnica;15749;12434;12252;182
021103;gm. Rudna;lubiński;Legnica;7752;6170;5957;213
021104;gm. Ścinawa;lubiński;Legnica;9472;7807;7709;98
Powiat lwówecki;;;;44313;36913;36462;451
021201;gm. Gryfów Śląski;lwówecki;Jelenia Góra;9310;7861;7824;37
021202;gm. Lubomierz;lwówecki;Jelenia Góra;5816;4789;4665;124
021203;gm. Lwówek Śląski;lwówecki;Jelenia Góra;16714;13798;13681;117
021204;gm. Mirsk;lwówecki;Jelenia Góra;8328;6987;6892;95
021205;gm. Wleń;lwówecki;Jelenia Góra;4145;3478;3400;78
Powiat milicki;;;;36529;29174;28906;268
021301;gm. Cieszków;milicki;Wrocław;4749;3758;3685;73
021302;gm. Krośnice;milicki;Wrocław;8080;6394;6338;56
021303;gm. Milicz;milicki;Wrocław;23700;19022;18883;139
Powiat oleśnicki;;;;103890;83942;83260;682
021401;m. Oleśnica;oleśnicki;Wrocław;35309;28910;28690;220
021402;gm. Bierutów;oleśnicki;Wrocław;9758;8045;7972;73
021403;gm. Dobroszyce;oleśnicki;Wrocław;6714;5278;5175;103
021404;gm. Dziadowa Kłoda;oleśnicki;Wrocław;4585;3590;3567;23
021405;gm. Międzybórz;oleśnicki;Wrocław;5045;4002;3964;38
021406;gm. Oleśnica;oleśnicki;Wrocław;13422;10551;10449;102
021407;gm. Syców;oleśnicki;Wrocław;16358;13214;13151;63
021408;gm. Twardogóra;oleśnicki;Wrocław;12699;10352;10292;60
Powiat oławski;;;;73680;59529;58891;638
021501;m. Oława;oławski;Wrocław;31267;25460;25285;175
021502;gm. Domaniów;oławski;Wrocław;5192;4171;4103;68
021503;gm. Jelcz-Laskowice;oławski;Wrocław;22263;17986;17741;245
021504;gm. Oława;oławski;Wrocław;14958;11912;11762;150
Powiat polkowicki;;;;60592;48557;47881;676
021601;gm. Chocianów;polkowicki;Legnica;12512;10149;9989;160
021602;gm. Gaworzyce;polkowicki;Legnica;3851;3059;2982;77
021603;gm. Grębocice;polkowicki;Legnica;5340;4195;4171;24
021604;gm. Polkowice;polkowicki;Legnica;25962;20710;20396;314
021605;gm. Przemków;polkowicki;Legnica;8127;6656;6627;29
021606;gm. Radwanice;polkowicki;Legnica;4800;3788;3716;72
Powiat strzeliński;;;;42833;35087;34724;363
021701;gm. Borów;strzeliński;Wrocław;5241;4335;4282;53
021702;gm. Kondratowice;strzeliński;Wrocław;4345;3538;3448;90
021703;gm. Przeworno;strzeliński;Wrocław;4775;3919;3879;40
021704;gm. Strzelin;strzeliński;Wrocław;21275;17476;17378;98
021705;gm. Wiązów;strzeliński;Wrocław;7197;5819;5737;82
Powiat średzki;;;;53265;42756;41988;768
021801;gm. Kostomłoty;średzki;Wrocław;7041;5714;5622;92
021802;gm. Malczyce;średzki;Wrocław;5703;4703;4622;81
021803;gm. Miękinia;średzki;Wrocław;16286;12524;12202;322
021804;gm. Środa Śląska;średzki;Wrocław;19097;15567;15385;182
021805;gm. Udanin;średzki;Wrocław;5138;4248;4157;91
Powiat świdnicki;;;;150703;124700;123938;762
021901;m. Świdnica;świdnicki;Wałbrzych;53344;44755;44549;206
021902;m. Świebodzice;świdnicki;Wałbrzych;21476;17814;17731;83
021903;gm. Dobromierz;świdnicki;Wałbrzych;5153;4234;4166;68
021904;gm. Jaworzyna Śląska;świdnicki;Wałbrzych;10148;8306;8235;71
021905;gm. Marcinowice;świdnicki;Wałbrzych;6354;5181;5116;65
021906;gm. Strzegom;świdnicki;Wałbrzych;25059;20821;20778;43
021907;gm. Świdnica;świdnicki;Wałbrzych;16917;13632;13499;133
021908;gm. Żarów;świdnicki;Wałbrzych;12252;9957;9864;93
Powiat trzebnicki;;;;83083;66824;65302;1522
022001;gm. Oborniki Śląskie;trzebnicki;Wrocław;19777;16008;15538;470
022002;gm. Prusice;trzebnicki;Wrocław;9316;7566;7362;204
022003;gm. Trzebnica;trzebnicki;Wrocław;23482;18656;18480;176
022004;gm. Wisznia Mała;trzebnicki;Wrocław;10236;8178;7713;465
022005;gm. Zawonia;trzebnicki;Wrocław;5888;4722;4586;136
022006;gm. Żmigród;trzebnicki;Wrocław;14384;11694;11623;71
Powiat wałbrzyski;;;;53218;44639;44147;492
022101;m. Boguszów-Gorce;wałbrzyski;Wałbrzych;14295;12136;12073;63
022102;m. Jedlina-Zdrój;wałbrzyski;Wałbrzych;4589;3800;3765;35
022103;m. Szczawno-Zdrój;wałbrzyski;Wałbrzych;5340;4552;4478;74
022104;gm. Czarny Bór;wałbrzyski;Wałbrzych;4812;3883;3835;48
022105;gm. Głuszyca;wałbrzyski;Wałbrzych;8296;7016;6956;60
022106;gm. Mieroszów;wałbrzyski;Wałbrzych;6305;5318;5244;74
022107;gm. Stare Bogaczowice;wałbrzyski;Wałbrzych;4167;3408;3354;54
022108;gm. Walim;wałbrzyski;Wałbrzych;5414;4526;4442;84
Powiat wołowski;;;;45470;37484;37098;386
022201;gm. Brzeg Dolny;wołowski;Wrocław;15623;12862;12791;71
022202;gm. Wińsko;wołowski;Wrocław;8315;6852;6670;182
022203;gm. Wołów;wołowski;Wrocław;21532;17770;17637;133
Powiat wrocławski;;;;145187;111697;107363;4334
022301;gm. Czernica;wrocławski;Wrocław;15589;11898;11316;582
022302;gm. Długołęka;wrocławski;Wrocław;32867;25107;23662;1445
022303;gm. Jordanów Śląski;wrocławski;Wrocław;3171;2563;2502;61
022304;gm. Kąty Wrocławskie;wrocławski;Wrocław;23874;18440;17929;511
022305;gm. Kobierzyce;wrocławski;Wrocław;20458;15172;14743;429
022306;gm. Mietków;wrocławski;Wrocław;3832;3072;2961;111
022307;gm. Sobótka;wrocławski;Wrocław;12587;10279;10063;216
022308;gm. Siechnice;wrocławski;Wrocław;21967;16650;16095;555
022309;gm. Żórawina;wrocławski;Wrocław;10842;8516;8092;424
Powiat ząbkowicki;;;;63317;52956;52464;492
022401;gm. Bardo;ząbkowicki;Wałbrzych;5235;4300;4219;81
022402;gm. Ciepłowody;ząbkowicki;Wałbrzych;3086;2505;2454;51
022403;gm. Kamieniec Ząbkowicki;ząbkowicki;Wałbrzych;8034;6684;6604;80
022404;gm. Stoszowice;ząbkowicki;Wałbrzych;5269;4361;4336;25
022405;gm. Ząbkowice Śląskie;ząbkowicki;Wałbrzych;20874;17658;17517;141
022406;gm. Ziębice;ząbkowicki;Wałbrzych;16465;13753;13690;63
022407;gm. Złoty Stok;ząbkowicki;Wałbrzych;4354;3695;3644;51
Powiat zgorzelecki;;;;86179;71654;70923;731
022501;m. Zawidów;zgorzelecki;Jelenia Góra;4037;3339;3317;22
022502;m. Zgorzelec;zgorzelecki;Jelenia Góra;28781;24536;24308;228
022503;gm. Bogatynia;zgorzelecki;Jelenia Góra;22416;18447;18277;170
022504;gm. Pieńsk;zgorzelecki;Jelenia Góra;8648;7069;7010;59
022505;gm. Sulików;zgorzelecki;Jelenia Góra;5944;4801;4731;70
022506;gm. Węgliniec;zgorzelecki;Jelenia Góra;8095;6742;6695;47
022507;gm. Zgorzelec;zgorzelecki;Jelenia Góra;8258;6720;6585;135
Powiat złotoryjski;;;;42372;34914;34693;221
022601;m. Wojcieszów;złotoryjski;Jelenia Góra;3544;2957;2923;34
022602;m. Złotoryja;złotoryjski;Jelenia Góra;14773;12346;12275;71
022603;gm. Pielgrzymka;złotoryjski;Jelenia Góra;4559;3670;3645;25
022604;gm. Świerzawa;złotoryjski;Jelenia Góra;7378;6082;6036;46
022605;gm. Zagrodno;złotoryjski;Jelenia Góra;5189;4298;4280;18
022606;gm. Złotoryja;złotoryjski;Jelenia Góra;6929;5561;5534;27
Miasto na prawach powiatu;;;;;;;
026101;m. Jelenia Góra;Jelenia Góra;Jelenia Góra;72867;61983;61300;683
Miasto na prawach powiatu;;;;;;;
026201;m. Legnica;Legnica;Legnica;91557;75759;75456;303
Miasto na prawach powiatu;;;;;;;
026401;m. Wrocław;Wrocław;Wrocław;584673;478808;471750;7058
Miasto na prawach powiatu;;;;;;;
026501;m. Wałbrzych;Wałbrzych;Wałbrzych;99993;85118;84735;383
Powiat aleksandrowski;;;;53936;44142;43724;418
040101;m. Aleksandrów Kujawski;aleksandrowski;Włocławek;11661;9595;9542;53
040102;m. Ciechocinek;aleksandrowski;Włocławek;9984;8501;8370;131
040103;m. Nieszawa;aleksandrowski;Włocławek;1884;1582;1537;45
040104;gm. Aleksandrów Kujawski;aleksandrowski;Włocławek;11730;9254;9193;61
040105;gm. Bądkowo;aleksandrowski;Włocławek;4301;3491;3475;16
040106;gm. Koneck;aleksandrowski;Włocławek;3205;2641;2638;3
040107;gm. Raciążek;aleksandrowski;Włocławek;3132;2538;2479;59
040108;gm. Waganiec;aleksandrowski;Włocławek;4525;3676;3643;33
040109;gm. Zakrzewo;aleksandrowski;Włocławek;3514;2864;2847;17
Powiat brodnicki;;;;76980;60971;60591;380
040201;m. Brodnica;brodnicki;Toruń;26617;21589;21456;133
040202;gm. Bobrowo;brodnicki;Toruń;6324;5020;4991;29
040203;gm. Brodnica;brodnicki;Toruń;8433;6406;6399;7
040204;gm. Brzozie;brodnicki;Toruń;3858;2939;2922;17
040205;gm. Górzno;brodnicki;Toruń;3938;3138;3090;48
040206;gm. Bartniczka;brodnicki;Toruń;4721;3641;3632;9
040207;gm. Jabłonowo Pomorskie;brodnicki;Toruń;8883;7086;7053;33
040208;gm. Osiek;brodnicki;Toruń;4021;3163;3144;19
040209;gm. Świedziebnia;brodnicki;Toruń;5265;4108;4094;14
040210;gm. Zbiczno;brodnicki;Toruń;4920;3881;3810;71
Powiat bydgoski;;;;113732;89198;88379;819
040301;gm. Białe Błota;bydgoski;Bydgoszcz;21233;16233;16108;125
040302;gm. Dąbrowa Chełmińska;bydgoski;Bydgoszcz;8198;6455;6418;37
040303;gm. Dobrcz;bydgoski;Bydgoszcz;11549;9017;8842;175
040304;gm. Koronowo;bydgoski;Bydgoszcz;23204;18469;18352;117
040305;gm. Nowa Wieś Wielka;bydgoski;Bydgoszcz;9824;7848;7755;93
040306;gm. Osielsko;bydgoski;Bydgoszcz;14071;10725;10599;126
040307;gm. Sicienko;bydgoski;Bydgoszcz;9947;7805;7702;103
040308;gm. Solec Kujawski;bydgoski;Bydgoszcz;15706;12646;12603;43
Powiat chełmiński;;;;49427;39662;39300;362
040401;m. Chełmno;chełmiński;Toruń;17691;14717;14507;210
040402;gm. Chełmno;chełmiński;Toruń;5979;4618;4601;17
040403;gm. Kijewo Królewskie;chełmiński;Toruń;4500;3513;3501;12
040404;gm. Lisewo;chełmiński;Toruń;5072;3987;3940;47
040405;gm. Papowo Biskupie;chełmiński;Toruń;4326;3404;3384;20
040406;gm. Stolno;chełmiński;Toruń;5180;4085;4063;22
040407;gm. Unisław;chełmiński;Toruń;6679;5338;5304;34
Powiat golubsko-dobrzyński;;;;44729;35789;35445;344
040501;m. Golub-Dobrzyń;golubsko-dobrzyński;Toruń;11757;9582;9466;116
040502;gm. Ciechocin;golubsko-dobrzyński;Toruń;4065;3237;3216;21
040503;gm. Golub-Dobrzyń;golubsko-dobrzyński;Toruń;9011;7113;7047;66
040504;gm. Kowalewo Pomorskie;golubsko-dobrzyński;Toruń;11317;9036;8976;60
040505;gm. Radomin;golubsko-dobrzyński;Toruń;4119;3301;3250;51
040506;gm. Zbójno;golubsko-dobrzyński;Toruń;4460;3520;3490;30
Powiat grudziądzki;;;;39900;31235;31051;184
040601;gm. Grudziądz;grudziądzki;Toruń;12464;9661;9607;54
040602;gm. Gruta;grudziądzki;Toruń;6456;5094;5060;34
040603;gm. Łasin;grudziądzki;Toruń;7783;6180;6132;48
040604;gm. Radzyń Chełmiński;grudziądzki;Toruń;4656;3727;3707;20
040605;gm. Rogóźno;grudziądzki;Toruń;4201;3233;3221;12
040606;gm. Świecie nad Osą;grudziądzki;Toruń;4340;3340;3324;16
Powiat inowrocławski;;;;152967;126079;125506;573
040701;m. Inowrocław;inowrocławski;Bydgoszcz;67512;56652;56435;217
040702;gm. Dąbrowa Biskupia;inowrocławski;Bydgoszcz;5059;4020;4013;7
040703;gm. Gniewkowo;inowrocławski;Bydgoszcz;13889;11231;11137;94
040704;gm. Inowrocław;inowrocławski;Bydgoszcz;11725;9482;9441;41
040705;gm. Janikowo;inowrocławski;Bydgoszcz;12887;10600;10577;23
040706;gm. Kruszwica;inowrocławski;Bydgoszcz;18667;15335;15263;72
040707;gm. Pakość;inowrocławski;Bydgoszcz;9635;7800;7770;30
040708;gm. Rojewo;inowrocławski;Bydgoszcz;4614;3679;3639;40
040709;gm. Złotniki Kujawskie;inowrocławski;Bydgoszcz;8979;7280;7231;49
Powiat lipnowski;;;;64964;52053;51495;558
040801;m. Lipno;lipnowski;Włocławek;13478;11107;10995;112
040802;gm. Bobrowniki;lipnowski;Włocławek;3098;2478;2428;50
040803;gm. Chrostkowo;lipnowski;Włocławek;2944;2390;2356;34
040804;gm. Dobrzyń nad Wisłą;lipnowski;Włocławek;7638;6211;6159;52
040805;gm. Kikół;lipnowski;Włocławek;7080;5645;5596;49
040806;gm. Lipno;lipnowski;Włocławek;11740;9252;9177;75
040807;gm. Skępe;lipnowski;Włocławek;7500;6003;5938;65
040808;gm. Tłuchowo;lipnowski;Włocławek;4672;3684;3628;56
040809;gm. Wielgie;lipnowski;Włocławek;6814;5283;5218;65
Powiat mogileński;;;;45131;36643;36496;147
040901;gm. Dąbrowa;mogileński;Bydgoszcz;4595;3679;3667;12
040902;gm. Jeziora Wielkie;mogileński;Bydgoszcz;4830;3854;3837;17
040903;gm. Mogilno;mogileński;Bydgoszcz;24293;19814;19708;106
040904;gm. Strzelno;mogileński;Bydgoszcz;11413;9296;9284;12
Powiat nakielski;;;;83236;66214;65861;353
041001;gm. Kcynia;nakielski;Bydgoszcz;13077;10469;10420;49
041002;gm. Mrocza;nakielski;Bydgoszcz;9017;7061;7035;26
041003;gm. Nakło nad Notecią;nakielski;Bydgoszcz;30086;24212;24091;121
041004;gm. Sadki;nakielski;Bydgoszcz;7182;5628;5615;13
041005;gm. Szubin;nakielski;Bydgoszcz;23874;18844;18700;144
Powiat radziejowski;;;;40556;33442;33184;258
041101;m. Radziejów;radziejowski;Włocławek;5344;4515;4491;24
041102;gm. Bytoń;radziejowski;Włocławek;3570;2919;2872;47
041103;gm. Dobre;radziejowski;Włocławek;5276;4402;4385;17
041104;gm. Osięciny;radziejowski;Włocławek;7714;6352;6303;49
041105;gm. Piotrków Kujawski;radziejowski;Włocławek;9290;7612;7557;55
041106;gm. Radziejów;radziejowski;Włocławek;4439;3591;3581;10
041107;gm. Topólka;radziejowski;Włocławek;4923;4051;3995;56
Powiat rypiński;;;;43126;34705;34494;211
041201;m. Rypin;rypiński;Włocławek;15651;12756;12697;59
041202;gm. Brzuze;rypiński;Włocławek;5310;4244;4201;43
041203;gm. Rogowo;rypiński;Włocławek;4757;3802;3768;34
041204;gm. Rypin;rypiński;Włocławek;7514;5928;5885;43
041205;gm. Skrwilno;rypiński;Włocławek;5886;4731;4720;11
041206;gm. Wąpielsk;rypiński;Włocławek;4008;3244;3223;21
Powiat sępoleński;;;;40460;32036;31808;228
041301;gm. Kamień Krajeński;sępoleński;Bydgoszcz;6967;5423;5377;46
041302;gm. Sępólno Krajeńskie;sępoleński;Bydgoszcz;15491;12399;12321;78
041303;gm. Sośno;sępoleński;Bydgoszcz;4996;3909;3884;25
041304;gm. Więcbork;sępoleński;Bydgoszcz;13006;10305;10226;79
Powiat świecki;;;;94918;75899;75444;455
041401;gm. Bukowiec;świecki;Bydgoszcz;5039;3928;3900;28
041402;gm. Dragacz;świecki;Bydgoszcz;7011;5555;5493;62
041403;gm. Drzycim;świecki;Bydgoszcz;4933;3910;3873;37
041404;gm. Jeżewo;świecki;Bydgoszcz;7921;6204;6182;22
041405;gm. Lniano;świecki;Bydgoszcz;4257;3331;3305;26
041406;gm. Nowe;świecki;Bydgoszcz;9832;7996;7958;38
041407;gm. Osie;świecki;Bydgoszcz;5483;4351;4315;36
041408;gm. Pruszcz;świecki;Bydgoszcz;9327;7409;7330;79
041409;gm. Świecie;świecki;Bydgoszcz;31253;25358;25315;43
041410;gm. Świekatowo;świecki;Bydgoszcz;3566;2871;2839;32
041411;gm. Warlubie;świecki;Bydgoszcz;6296;4986;4934;52
Powiat toruński;;;;105333;81615;80766;849
041501;m. Chełmża;toruński;Toruń;13447;10929;10864;65
041502;gm. Chełmża;toruński;Toruń;9643;7609;7540;69
041503;gm. Czernikowo;toruński;Toruń;9119;7095;6947;148
041504;gm. Lubicz;toruński;Toruń;19542;15165;15063;102
041505;gm. Łubianka;toruński;Toruń;7226;5496;5446;50
041506;gm. Łysomice;toruński;Toruń;10106;7821;7720;101
041507;gm. Obrowo;toruński;Toruń;17206;12927;12736;191
041508;gm. Wielka Nieszawka;toruński;Toruń;5033;3838;3794;44
041509;gm. Zławieś Wielka;toruński;Toruń;14011;10735;10656;79
Powiat tucholski;;;;47510;37637;37351;286
041601;gm. Cekcyn;tucholski;Bydgoszcz;6837;5313;5258;55
041602;gm. Gostycyn;tucholski;Bydgoszcz;5198;4091;4068;23
041603;gm. Kęsowo;tucholski;Bydgoszcz;4510;3528;3516;12
041604;gm. Lubiewo;tucholski;Bydgoszcz;6034;4693;4657;36
041605;gm. Śliwice;tucholski;Bydgoszcz;5546;4381;4337;44
041606;gm. Tuchola;tucholski;Bydgoszcz;19385;15631;15515;116
Powiat wąbrzeski;;;;33302;26824;26666;158
041701;m. Wąbrzeźno;wąbrzeski;Toruń;12546;10358;10251;107
041702;gm. Dębowa Łąka;wąbrzeski;Toruń;3233;2550;2547;3
041703;gm. Książki;wąbrzeski;Toruń;4144;3341;3325;16
041704;gm. Płużnica;wąbrzeski;Toruń;4769;3785;3758;27
041705;gm. Ryńsk;wąbrzeski;Toruń;8610;6790;6785;5
Powiat włocławski;;;;85617;69766;69186;580
041801;m. Kowal;włocławski;Włocławek;3416;2857;2828;29
041802;gm. Baruchowo;włocławski;Włocławek;3466;2808;2785;23
041803;gm. Boniewo;włocławski;Włocławek;3411;2783;2764;19
041804;gm. Brześć Kujawski;włocławski;Włocławek;11114;9133;9069;64
041805;gm. Choceń;włocławski;Włocławek;8064;6541;6456;85
041806;gm. Chodecz;włocławski;Włocławek;5969;4961;4927;34
041807;gm. Fabianki;włocławski;Włocławek;9823;7847;7783;64
041808;gm. Izbica Kujawska;włocławski;Włocławek;7651;6134;6098;36
041809;gm. Kowal;włocławski;Włocławek;3952;3253;3220;33
041810;gm. Lubanie;włocławski;Włocławek;4552;3720;3690;30
041811;gm. Lubień Kujawski;włocławski;Włocławek;7346;6043;5979;64
041812;gm. Lubraniec;włocławski;Włocławek;9535;7827;7794;33
041813;gm. Włocławek;włocławski;Włocławek;7318;5859;5793;66
Powiat żniński;;;;68736;55295;54914;381
041901;gm. Barcin;żniński;Bydgoszcz;14058;11425;11301;124
041902;gm. Gąsawa;żniński;Bydgoszcz;5219;4205;4172;33
041903;gm. Janowiec Wielkopolski;żniński;Bydgoszcz;8924;7121;7078;43
041904;gm. Łabiszyn;żniński;Bydgoszcz;9990;7879;7854;25
041905;gm. Rogowo;żniński;Bydgoszcz;6791;5395;5361;34
041906;gm. Żnin;żniński;Bydgoszcz;23754;19270;19148;122
Miasto na prawach powiatu;;;;;;;
046101;m. Bydgoszcz;Bydgoszcz;Bydgoszcz;314567;261077;259716;1361
Miasto na prawach powiatu;;;;;;;
046201;m. Grudziądz;Grudziądz;Toruń;82783;68368;67840;528
Miasto na prawach powiatu;;;;;;;
046301;m. Toruń;Toruń;Toruń;180884;149340;148325;1015
Miasto na prawach powiatu;;;;;;;
046401;m. Włocławek;Włocławek;Włocławek;102637;86199;85765;434
Powiat bialski;;;;111653;90036;88731;1305
060101;m. Międzyrzec Podlaski;bialski;Biała Podlaska;16525;13493;13390;103
060102;m. Terespol;bialski;Biała Podlaska;5606;4619;4586;33
060103;gm. Biała Podlaska;bialski;Biała Podlaska;14487;11352;11036;316
060104;gm. Drelów;bialski;Biała Podlaska;5468;4330;4311;19
060105;gm. Janów Podlaski;bialski;Biała Podlaska;5265;4231;4170;61
060106;gm. Kodeń;bialski;Biała Podlaska;3620;2995;2900;95
060107;gm. Konstantynów;bialski;Biała Podlaska;4199;3306;3210;96
060108;gm. Leśna Podlaska;bialski;Biała Podlaska;4323;3488;3441;47
060109;gm. Łomazy;bialski;Biała Podlaska;5044;4143;4088;55
060110;gm. Międzyrzec Podlaski;bialski;Biała Podlaska;10425;8219;8165;54
060111;gm. Piszczac;bialski;Biała Podlaska;7289;5870;5795;75
060112;gm. Rokitno;bialski;Biała Podlaska;3027;2437;2392;45
060113;gm. Rossosz;bialski;Biała Podlaska;2284;1876;1853;23
060114;gm. Sławatycze;bialski;Biała Podlaska;2446;1978;1927;51
060115;gm. Sosnówka;bialski;Biała Podlaska;2492;2068;2027;41
060116;gm. Terespol;bialski;Biała Podlaska;6546;5349;5307;42
060117;gm. Tuczna;bialski;Biała Podlaska;3112;2586;2561;25
060118;gm. Wisznice;bialski;Biała Podlaska;5013;4137;4091;46
060119;gm. Zalesie;bialski;Biała Podlaska;4482;3559;3481;78
Powiat biłgorajski;;;;102022;83312;82798;514
060201;m. Biłgoraj;biłgorajski;Zamość;26108;21461;21290;171
060202;gm. Aleksandrów;biłgorajski;Zamość;3325;2627;2618;9
060203;gm. Biłgoraj;biłgorajski;Zamość;13486;10674;10649;25
060204;gm. Biszcza;biłgorajski;Zamość;3906;3149;3121;28
060205;gm. Frampol;biłgorajski;Zamość;6200;5132;5123;9
060206;gm. Goraj;biłgorajski;Zamość;4181;3452;3436;16
