Kod TERYT;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
061111;gm. Wola Mysłowska;łukowski;Lublin;4611;3723;3664;59
Powiat opolski;;;;56612;46369;45984;385
061201;gm. Chodel;opolski;Lublin;6418;5093;5009;84
061202;gm. Józefów nad Wisłą;opolski;Lublin;6264;5130;5088;42
061203;gm. Karczmiska;opolski;Lublin;5415;4441;4402;39
061204;gm. Łaziska;opolski;Lublin;4755;3891;3867;24
061205;gm. Opole Lubelskie;opolski;Lublin;16305;13385;13324;61
061206;gm. Poniatowa;opolski;Lublin;13159;10883;10821;62
061207;gm. Wilków;opolski;Lublin;4296;3546;3473;73
Powiat parczewski;;;;33365;27304;27091;213
061301;gm. Dębowa Kłoda;parczewski;Biała Podlaska;3866;3101;3054;47
061302;gm. Jabłoń;parczewski;Biała Podlaska;3637;2950;2938;12
061303;gm. Milanów;parczewski;Biała Podlaska;3660;2981;2969;12
061304;gm. Parczew;parczewski;Biała Podlaska;13776;11323;11280;43
061305;gm. Podedwórze;parczewski;Biała Podlaska;1592;1342;1329;13
061306;gm. Siemień;parczewski;Biała Podlaska;4390;3591;3572;19
061307;gm. Sosnowica;parczewski;Biała Podlaska;2444;2016;1949;67
Powiat puławski;;;;108114;89876;88972;904
061401;m. Puławy;puławski;Lublin;43825;36967;36676;291
061402;gm. Baranów;puławski;Lublin;3799;3142;3097;45
061403;gm. Janowiec;puławski;Lublin;3669;3036;2961;75
061404;gm. Kazimierz Dolny;puławski;Lublin;6450;5464;5395;69
061405;gm. Końskowola;puławski;Lublin;8505;7000;6959;41
061406;gm. Kurów;puławski;Lublin;7482;6100;6064;36
061407;gm. Markuszów;puławski;Lublin;2915;2361;2338;23
061408;gm. Nałęczów;puławski;Lublin;8608;7158;7049;109
061409;gm. Puławy;puławski;Lublin;12084;9862;9789;73
061410;gm. Wąwolnica;puławski;Lublin;4436;3624;3545;79
061411;gm. Żyrzyn;puławski;Lublin;6341;5162;5099;63
Powiat radzyński;;;;57309;46302;45914;388
061501;m. Radzyń Podlaski;radzyński;Biała Podlaska;14480;12009;11905;104
061502;gm. Borki;radzyński;Biała Podlaska;5978;4729;4671;58
061503;gm. Czemierniki;radzyński;Biała Podlaska;4243;3447;3433;14
061504;gm. Kąkolewnica;radzyński;Biała Podlaska;7967;6335;6289;46
061505;gm. Komarówka Podlaska;radzyński;Biała Podlaska;4138;3409;3374;35
061506;gm. Radzyń Podlaski;radzyński;Biała Podlaska;8143;6491;6447;44
061507;gm. Ulan-Majorat;radzyński;Biała Podlaska;5910;4638;4595;43
061508;gm. Wohyń;radzyński;Biała Podlaska;6450;5244;5200;44
Powiat rycki;;;;53359;43493;43147;346
061601;m. Dęblin;rycki;Lublin;14239;11968;11838;130
061602;gm. Kłoczew;rycki;Lublin;7142;5552;5527;25
061603;gm. Nowodwór;rycki;Lublin;4100;3219;3199;20
061604;gm. Ryki;rycki;Lublin;19867;16170;16090;80
061605;gm. Stężyca;rycki;Lublin;4978;4087;4068;19
061606;gm. Ułęż;rycki;Lublin;3033;2497;2425;72
Powiat świdnicki;;;;68152;56024;55685;339
061701;m. Świdnik;świdnicki;Lublin;35971;29852;29749;103
061702;gm. Mełgiew;świdnicki;Lublin;10184;8125;8022;103
061703;gm. Piaski;świdnicki;Lublin;10237;8334;8244;90
061704;gm. Rybczewice;świdnicki;Lublin;3267;2738;2720;18
061705;gm. Trawniki;świdnicki;Lublin;8493;6975;6950;25
Powiat tomaszowski;;;;79881;66469;66027;442
061801;m. Tomaszów Lubelski;tomaszowski;Zamość;17860;15098;14985;113
061802;gm. Bełżec;tomaszowski;Zamość;3228;2598;2583;15
061803;gm. Jarczów;tomaszowski;Zamość;3345;2766;2742;24
061804;gm. Krynice;tomaszowski;Zamość;3138;2636;2617;19
061805;gm. Lubycza Królewska;tomaszowski;Zamość;5896;4925;4895;30
061806;gm. Łaszczów;tomaszowski;Zamość;5732;4801;4777;24
061807;gm. Rachanie;tomaszowski;Zamość;4946;4096;4074;22
061808;gm. Susiec;tomaszowski;Zamość;7308;6049;6010;39
061809;gm. Tarnawatka;tomaszowski;Zamość;3865;3167;3126;41
061810;gm. Telatyn;tomaszowski;Zamość;3702;3121;3105;16
061811;gm. Tomaszów Lubelski;tomaszowski;Zamość;11274;9130;9086;44
061812;gm. Tyszowce;tomaszowski;Zamość;5303;4437;4396;41
061813;gm. Ulhówek;tomaszowski;Zamość;4284;3645;3631;14
Powiat włodawski;;;;36572;30067;29683;384
061901;m. Włodawa;włodawski;Chełm;12033;10020;9944;76
061902;gm. Hanna;włodawski;Chełm;2744;2299;2242;57
061903;gm. Hańsk;włodawski;Chełm;3602;2900;2884;16
061904;gm. Stary Brus;włodawski;Chełm;2009;1638;1571;67
061905;gm. Urszulin;włodawski;Chełm;4201;3314;3270;44
061906;gm. Włodawa;włodawski;Chełm;5851;4741;4705;36
061907;gm. Wola Uhruska;włodawski;Chełm;3687;3134;3098;36
061908;gm. Wyryki;włodawski;Chełm;2445;2021;1969;52
Powiat zamojski;;;;103816;85819;84982;837
062001;gm. Adamów;zamojski;Zamość;4633;3805;3699;106
062002;gm. Grabowiec;zamojski;Zamość;3779;3192;3152;40
062003;gm. Komarów-Osada;zamojski;Zamość;4808;3998;3914;84
062004;gm. Krasnobród;zamojski;Zamość;6941;5719;5682;37
062005;gm. Łabunie;zamojski;Zamość;6093;4999;4947;52
062006;gm. Miączyn;zamojski;Zamość;5404;4489;4467;22
062007;gm. Nielisz;zamojski;Zamość;5312;4439;4376;63
062008;gm. Radecznica;zamojski;Zamość;5147;4406;4381;25
062009;gm. Sitno;zamojski;Zamość;6662;5384;5365;19
062010;gm. Skierbieszów;zamojski;Zamość;4916;4089;4042;47
062011;gm. Stary Zamość;zamojski;Zamość;5044;4179;4115;64
062012;gm. Sułów;zamojski;Zamość;4204;3542;3512;30
062013;gm. Szczebrzeszyn;zamojski;Zamość;10730;8965;8941;24
062014;gm. Zamość;zamojski;Zamość;23719;19199;19021;178
062015;gm. Zwierzyniec;zamojski;Zamość;6424;5414;5368;46
Miasto na prawach powiatu;;;;;;;
066101;m. Biała Podlaska;Biała Podlaska;Biała Podlaska;53474;43516;43234;282
Miasto na prawach powiatu;;;;;;;
066201;m. Chełm;Chełm;Chełm;55903;47229;46958;271
Miasto na prawach powiatu;;;;;;;
066301;m. Lublin;Lublin;Lublin;307142;250844;249412;1432
Miasto na prawach powiatu;;;;;;;
066401;m. Zamość;Zamość;Zamość;57505;48166;47937;229
Powiat gorzowski;;;;70245;55712;55194;518
080101;m. Kostrzyn nad Odrą;gorzowski;Gorzów Wielkopolski;16053;12947;12907;40
080102;gm. Bogdaniec;gorzowski;Gorzów Wielkopolski;6937;5477;5425;52
080103;gm. Deszczno;gorzowski;Gorzów Wielkopolski;10356;8059;8029;30
080104;gm. Kłodawa;gorzowski;Gorzów Wielkopolski;8942;6985;6818;167
080105;gm. Lubiszyn;gorzowski;Gorzów Wielkopolski;6852;5475;5405;70
080106;gm. Santok;gorzowski;Gorzów Wielkopolski;9144;7095;6976;119
080107;gm. Witnica;gorzowski;Gorzów Wielkopolski;11961;9674;9634;40
Powiat krośnieński;;;;51029;41718;41341;377
080201;m. Gubin;krośnieński;Zielona Góra;14812;12279;12202;77
080202;gm. Bobrowice;krośnieński;Zielona Góra;3043;2472;2405;67
080203;gm. Bytnica;krośnieński;Zielona Góra;2339;1877;1866;11
080204;gm. Dąbie;krośnieński;Zielona Góra;4849;3870;3816;54
080205;gm. Gubin;krośnieński;Zielona Góra;6960;5657;5603;54
080206;gm. Krosno Odrzańskie;krośnieński;Zielona Góra;16305;13367;13302;65
080207;gm. Maszewo;krośnieński;Zielona Góra;2721;2196;2147;49
Powiat międzyrzecki;;;;53381;43320;42934;386
080301;gm. Bledzew;międzyrzecki;Gorzów Wielkopolski;4075;3306;3254;52
080302;gm. Międzyrzecz;międzyrzecki;Gorzów Wielkopolski;22472;18354;18299;55
080303;gm. Przytoczna;międzyrzecki;Gorzów Wielkopolski;5444;4261;4222;39
080304;gm. Pszczew;międzyrzecki;Gorzów Wielkopolski;4136;3289;3224;65
080305;gm. Skwierzyna;międzyrzecki;Gorzów Wielkopolski;11124;9142;9029;113
080306;gm. Trzciel;międzyrzecki;Gorzów Wielkopolski;6130;4968;4906;62
Powiat nowosolski;;;;79234;64578;64151;427
080401;m. Nowa Sól;nowosolski;Zielona Góra;33781;28052;27945;107
080402;gm. Bytom Odrzański;nowosolski;Zielona Góra;5148;4167;4153;14
080403;gm. Kolsko;nowosolski;Zielona Góra;3205;2594;2546;48
080404;gm. Kożuchów;nowosolski;Zielona Góra;14669;11900;11837;63
080405;gm. Nowa Sól;nowosolski;Zielona Góra;7016;5577;5520;57
080406;gm. Nowe Miasteczko;nowosolski;Zielona Góra;5058;4056;3999;57
080407;gm. Otyń;nowosolski;Zielona Góra;6953;5549;5496;53
080408;gm. Siedlisko;nowosolski;Zielona Góra;3404;2683;2655;28
Powiat słubicki;;;;43978;35399;34942;457
080501;gm. Cybinka;słubicki;Gorzów Wielkopolski;6159;5039;4992;47
080502;gm. Górzyca;słubicki;Gorzów Wielkopolski;4099;3254;3230;24
080503;gm. Ośno Lubuskie;słubicki;Gorzów Wielkopolski;6074;4855;4746;109
080504;gm. Rzepin;słubicki;Gorzów Wielkopolski;9181;7397;7295;102
080505;gm. Słubice;słubicki;Gorzów Wielkopolski;18465;14854;14679;175
Powiat strzelecko-drezdenecki;;;;45765;37118;36835;283
080601;gm. Dobiegniew;strzelecko-drezdenecki;Gorzów Wielkopolski;6097;5044;4989;55
080602;gm. Drezdenko;strzelecko-drezdenecki;Gorzów Wielkopolski;15921;12855;12761;94
080603;gm. Stare Kurowo;strzelecko-drezdenecki;Gorzów Wielkopolski;3914;3094;3064;30
080604;gm. Strzelce Krajeńskie;strzelecko-drezdenecki;Gorzów Wielkopolski;15724;12834;12765;69
080605;gm. Zwierzyn;strzelecko-drezdenecki;Gorzów Wielkopolski;4109;3291;3256;35
Powiat sulęciński;;;;32494;26071;25671;400
080701;gm. Krzeszyce;sulęciński;Gorzów Wielkopolski;4642;3654;3541;113
080702;gm. Lubniewice;sulęciński;Gorzów Wielkopolski;2952;2447;2385;62
080703;gm. Słońsk;sulęciński;Gorzów Wielkopolski;4575;3614;3573;41
080704;gm. Sulęcin;sulęciński;Gorzów Wielkopolski;14069;11372;11256;116
080705;gm. Torzym;sulęciński;Gorzów Wielkopolski;6256;4984;4916;68
Powiat świebodziński;;;;51893;41783;41365;418
080801;gm. Lubrza;świebodziński;Zielona Góra;3554;2831;2774;57
080802;gm. Łagów;świebodziński;Zielona Góra;4711;3904;3835;69
080803;gm. Skąpe;świebodziński;Zielona Góra;4813;3834;3735;99
080804;gm. Szczaniec;świebodziński;Zielona Góra;3676;2958;2902;56
080805;gm. Świebodzin;świebodziński;Zielona Góra;27259;21929;21817;112
080806;gm. Zbąszynek;świebodziński;Zielona Góra;7880;6327;6302;25
Powiat zielonogórski;;;;71159;57466;56967;499
080901;gm. Babimost;zielonogórski;Zielona Góra;5870;4780;4753;27
080902;gm. Bojadła;zielonogórski;Zielona Góra;3147;2549;2501;48
080903;gm. Czerwieńsk;zielonogórski;Zielona Góra;9514;7602;7544;58
080904;gm. Kargowa;zielonogórski;Zielona Góra;5653;4530;4488;42
080905;gm. Nowogród Bobrzański;zielonogórski;Zielona Góra;8731;7082;7050;32
080906;gm. Sulechów;zielonogórski;Zielona Góra;24045;19579;19468;111
080907;gm. Świdnica;zielonogórski;Zielona Góra;6582;5347;5250;97
080908;gm. Trzebiechów;zielonogórski;Zielona Góra;3170;2487;2471;16
080909;gm. Zabór;zielonogórski;Zielona Góra;4447;3510;3442;68
Powiat żagański;;;;71897;59096;58735;361
081001;m. Gozdnica;żagański;Zielona Góra;2740;2318;2307;11
081002;m. Żagań;żagański;Zielona Góra;22314;18572;18488;84
081003;gm. Brzeźnica;żagański;Zielona Góra;3567;2842;2828;14
081004;gm. Iłowa;żagański;Zielona Góra;6275;5200;5163;37
081005;gm. Małomice;żagański;Zielona Góra;4986;4032;3997;35
081006;gm. Niegosławice;żagański;Zielona Góra;4284;3398;3371;27
081007;gm. Szprotawa;żagański;Zielona Góra;18580;15361;15290;71
081008;gm. Wymiarki;żagański;Zielona Góra;2083;1735;1723;12
081009;gm. Żagań;żagański;Zielona Góra;7068;5638;5568;70
Powiat żarski;;;;88240;72223;71802;421
081101;m. Łęknica;żarski;Zielona Góra;2218;1806;1784;22
081102;m. Żary;żarski;Zielona Góra;33135;27360;27304;56
081103;gm. Brody;żarski;Zielona Góra;3131;2528;2500;28
081104;gm. Jasień;żarski;Zielona Góra;6482;5304;5267;37
081105;gm. Lipinki Łużyckie;żarski;Zielona Góra;3201;2538;2482;56
081106;gm. Lubsko;żarski;Zielona Góra;16829;13903;13851;52
081107;gm. Przewóz;żarski;Zielona Góra;3004;2454;2423;31
081108;gm. Trzebiel;żarski;Zielona Góra;5422;4402;4363;39
081109;gm. Tuplice;żarski;Zielona Góra;2838;2332;2298;34
081110;gm. Żary;żarski;Zielona Góra;11980;9596;9530;66
Powiat wschowski;;;;36377;29323;29033;290
081201;gm. Sława;wschowski;Zielona Góra;12106;9698;9532;166
081202;gm. Szlichtyngowa;wschowski;Zielona Góra;4885;3875;3837;38
081203;gm. Wschowa;wschowski;Zielona Góra;19386;15750;15664;86
Miasto na prawach powiatu;;;;;;;
086101;m. Gorzów Wielkopolski;Gorzów Wielkopolski;Gorzów Wielkopolski;106660;88131;87559;572
Miasto na prawach powiatu;;;;;;;
086201;m. Zielona Góra;Zielona Góra;Zielona Góra;127973;104180;103519;661
Powiat bełchatowski;;;;108467;87434;86610;824
100101;m. Bełchatów;bełchatowski;Piotrków Trybunalski;52116;42669;42483;186
100102;gm. Bełchatów;bełchatowski;Piotrków Trybunalski;12524;9838;9733;105
100103;gm. Drużbice;bełchatowski;Piotrków Trybunalski;5219;4220;4079;141
100104;gm. Kleszczów;bełchatowski;Piotrków Trybunalski;6795;4965;4936;29
100105;gm. Kluki;bełchatowski;Piotrków Trybunalski;4396;3553;3474;79
100106;gm. Rusiec;bełchatowski;Piotrków Trybunalski;4916;4020;3887;133
100107;gm. Szczerców;bełchatowski;Piotrków Trybunalski;8113;6547;6449;98
100108;gm. Zelów;bełchatowski;Piotrków Trybunalski;14388;11622;11569;53
Powiat kutnowski;;;;89909;75082;74561;521
100201;m. Kutno;kutnowski;Łódź;40080;33833;33623;210
100202;gm. Bedlno;kutnowski;Łódź;5124;4254;4212;42
100203;gm. Dąbrowice;kutnowski;Łódź;1842;1516;1475;41
100204;gm. Krośniewice;kutnowski;Łódź;7710;6407;6373;34
100205;gm. Krzyżanów;kutnowski;Łódź;4084;3359;3342;17
100206;gm. Kutno;kutnowski;Łódź;8630;7012;6989;23
100207;gm. Łanięta;kutnowski;Łódź;2215;1775;1749;26
100208;gm. Nowe Ostrowy;kutnowski;Łódź;3279;2764;2743;21
100209;gm. Oporów;kutnowski;Łódź;2448;1995;1948;47
100210;gm. Strzelce;kutnowski;Łódź;3738;3099;3054;45
100211;gm. Żychlin;kutnowski;Łódź;10759;9068;9053;15
Powiat łaski;;;;48118;39532;39168;364
100301;gm. Buczek;łaski;Łódź;5055;4073;4045;28
100302;gm. Łask;łaski;Łódź;26255;21639;21514;125
100303;gm. Sędziejowice;łaski;Łódź;6245;5116;5048;68
100304;gm. Widawa;łaski;Łódź;7034;5864;5766;98
100305;gm. Wodzierady;łaski;Łódź;3529;2840;2795;45
Powiat łęczycki;;;;47311;39054;38724;330
100401;m. Łęczyca;łęczycki;Łódź;12774;10665;10531;134
100402;gm. Daszyna;łęczycki;Łódź;3757;3076;3046;30
100403;gm. Góra Świętej Małgorzaty;łęczycki;Łódź;4301;3479;3456;23
100404;gm. Grabów;łęczycki;Łódź;5599;4642;4601;41
100405;gm. Łęczyca;łęczycki;Łódź;8309;6774;6734;40
100406;gm. Piątek;łęczycki;Łódź;5704;4699;4664;35
100407;gm. Świnice Warckie;łęczycki;Łódź;3774;3130;3117;13
100408;gm. Witonia;łęczycki;Łódź;3093;2589;2575;14
Powiat łowicki;;;;74368;60920;60578;342
100501;m. Łowicz;łowicki;Łódź;25838;21439;21345;94
100502;gm. Bielawy;łowicki;Łódź;5085;4222;4123;99
100503;gm. Chąśno;łowicki;Łódź;2913;2399;2394;5
100504;gm. Domaniewice;łowicki;Łódź;4557;3618;3598;20
100505;gm. Kiernozia;łowicki;Łódź;3210;2671;2650;21
100506;gm. Kocierzew Południowy;łowicki;Łódź;4076;3326;3320;6
100507;gm. Łowicz;łowicki;Łódź;7725;6194;6171;23
100508;gm. Łyszkowice;łowicki;Łódź;6435;5202;5177;25
100509;gm. Nieborów;łowicki;Łódź;9203;7434;7401;33
100510;gm. Zduny;łowicki;Łódź;5326;4415;4399;16
Powiat łódzki wschodni;;;;71515;57436;56593;843
100602;gm. Andrespol;łódzki wschodni;Łódź;14228;11416;11235;181
100603;gm. Brójce;łódzki wschodni;Łódź;6889;5385;5287;98
100607;gm. Koluszki;łódzki wschodni;Łódź;22338;18268;18087;181
100608;gm. Nowosolna;łódzki wschodni;Łódź;5334;4235;4061;174
100610;gm. Rzgów;łódzki wschodni;Łódź;10485;8275;8215;60
100611;gm. Tuszyn;łódzki wschodni;Łódź;12241;9857;9708;149
Powiat opoczyński;;;;73959;59704;59170;534
100701;gm. Białaczów;opoczyński;Skierniewice;5629;4590;4503;87
100702;gm. Drzewica;opoczyński;Skierniewice;10199;8312;8278;34
100703;gm. Mniszków;opoczyński;Skierniewice;4740;3755;3681;74
100704;gm. Opoczno;opoczyński;Skierniewice;32466;26389;26284;105
100705;gm. Paradyż;opoczyński;Skierniewice;4350;3417;3385;32
100706;gm. Poświętne;opoczyński;Skierniewice;3105;2539;2490;49
100707;gm. Sławno;opoczyński;Skierniewice;7726;5985;5949;36
100708;gm. Żarnów;opoczyński;Skierniewice;5744;4717;4600;117
Powiat pabianicki;;;;110941;91298;90351;947
100801;m. Konstantynów Łódzki;pabianicki;Łódź;17881;14522;14255;267
100802;m. Pabianice;pabianicki;Łódź;56443;47603;47403;200
100803;gm. Dłutów;pabianicki;Łódź;4707;3768;3702;66
100804;gm. Dobroń;pabianicki;Łódź;7715;6201;6125;76
100805;gm. Ksawerów;pabianicki;Łódź;7422;6013;5930;83
100806;gm. Lutomiersk;pabianicki;Łódź;8661;6949;6819;130
100807;gm. Pabianice;pabianicki;Łódź;8112;6242;6117;125
Powiat pajęczański;;;;49616;40788;40295;493
100901;gm. Działoszyn;pajęczański;Sieradz;11747;9668;9596;72
100902;gm. Kiełczygłów;pajęczański;Sieradz;3887;3236;3190;46
100903;gm. Nowa Brzeźnica;pajęczański;Sieradz;4361;3657;3616;41
100904;gm. Pajęczno;pajęczański;Sieradz;11153;9127;9046;81
100905;gm. Rząśnia;pajęczański;Sieradz;4987;3976;3865;111
100906;gm. Siemkowice;pajęczański;Sieradz;4751;3876;3825;51
100907;gm. Strzelce Wielkie;pajęczański;Sieradz;4369;3674;3654;20
100908;gm. Sulmierzyce;pajęczański;Sieradz;4361;3574;3503;71
Powiat piotrkowski;;;;89920;72025;71145;880
101001;gm. Aleksandrów;piotrkowski;Piotrków Trybunalski;4381;3581;3415;166
101002;gm. Czarnocin;piotrkowski;Piotrków Trybunalski;3982;3193;3150;43
101003;gm. Gorzkowice;piotrkowski;Piotrków Trybunalski;8355;6756;6623;133
101004;gm. Grabica;piotrkowski;Piotrków Trybunalski;6049;4732;4723;9
101005;gm. Łęki Szlacheckie;piotrkowski;Piotrków Trybunalski;3330;2749;2670;79
101006;gm. Moszczenica;piotrkowski;Piotrków Trybunalski;12589;10080;10059;21
101007;gm. Ręczno;piotrkowski;Piotrków Trybunalski;3537;2867;2798;69
101008;gm. Rozprza;piotrkowski;Piotrków Trybunalski;12058;9538;9474;64
101009;gm. Sulejów;piotrkowski;Piotrków Trybunalski;16056;13007;12831;176
101010;gm. Wola Krzysztoporska;piotrkowski;Piotrków Trybunalski;11821;9366;9332;34
101011;gm. Wolbórz;piotrkowski;Piotrków Trybunalski;7762;6156;6070;86
Powiat poddębicki;;;;39821;32746;32273;473
101101;gm. Dalików;poddębicki;Łódź;3975;3224;3150;74
101102;gm. Pęczniew;poddębicki;Łódź;3469;2840;2779;61
101103;gm. Poddębice;poddębicki;Łódź;14598;12111;11945;166
101104;gm. Uniejów;poddębicki;Łódź;6700;5573;5528;45
101105;gm. Wartkowice;poddębicki;Łódź;6197;4997;4957;40
101106;gm. Zadzim;poddębicki;Łódź;4882;4001;3914;87
Powiat radomszczański;;;;106546;88202;87248;954
101201;m. Radomsko;radomszczański;Piotrków Trybunalski;41876;35225;34999;226
101202;gm. Dobryszyce;radomszczański;Piotrków Trybunalski;4349;3482;3447;35
101203;gm. Gidle;radomszczański;Piotrków Trybunalski;5806;4830;4791;39
101204;gm. Gomunice;radomszczański;Piotrków Trybunalski;5669;4650;4565;85
101205;gm. Kamieńsk;radomszczański;Piotrków Trybunalski;5665;4639;4559;80
101206;gm. Kobiele Wielkie;radomszczański;Piotrków Trybunalski;4334;3509;3477;32
101207;gm. Kodrąb;radomszczański;Piotrków Trybunalski;4376;3593;3539;54
101208;gm. Lgota Wielka;radomszczański;Piotrków Trybunalski;4177;3390;3368;22
101209;gm. Ładzice;radomszczański;Piotrków Trybunalski;4707;3782;3744;38
101210;gm. Masłowice;radomszczański;Piotrków Trybunalski;4083;3296;3214;82
101211;gm. Przedbórz;radomszczański;Piotrków Trybunalski;6833;5640;5542;98
101212;gm. Radomsko;radomszczański;Piotrków Trybunalski;5359;4408;4386;22
101213;gm. Wielgomłyny;radomszczański;Piotrków Trybunalski;4407;3644;3539;105
101214;gm. Żytno;radomszczański;Piotrków Trybunalski;4905;4114;4078;36
Powiat rawski;;;;46700;37888;37642;246
101301;m. Rawa Mazowiecka;rawski;Skierniewice;16185;13208;13100;108
101302;gm. Biała Rawska;rawski;Skierniewice;10851;8831;8793;38
101303;gm. Cielądz;rawski;Skierniewice;3969;3180;3154;26
101304;gm. Rawa Mazowiecka;rawski;Skierniewice;8644;6960;6944;16
101305;gm. Regnów;rawski;Skierniewice;1778;1453;1419;34
101306;gm. Sadkowice;rawski;Skierniewice;5273;4256;4232;24
Powiat sieradzki;;;;112016;91306;90606;700
101401;m. Sieradz;sieradzki;Sieradz;38074;31714;31539;175
101402;gm. Błaszki;sieradzki;Sieradz;14036;11364;11262;102
101403;gm. Brąszewice;sieradzki;Sieradz;4384;3442;3399;43
101404;gm. Brzeźnio;sieradzki;Sieradz;6273;5065;5042;23
101405;gm. Burzenin;sieradzki;Sieradz;5328;4348;4331;17
101406;gm. Goszczanów;sieradzki;Sieradz;5257;4244;4206;38
101407;gm. Klonowa;sieradzki;Sieradz;2831;2261;2250;11
101408;gm. Sieradz;sieradzki;Sieradz;10750;8504;8446;58
101409;gm. Warta;sieradzki;Sieradz;12100;9840;9708;132
101410;gm. Wróblew;sieradzki;Sieradz;5989;4870;4845;25
101411;gm. Złoczew;sieradzki;Sieradz;6994;5654;5578;76
Powiat skierniewicki;;;;37499;29937;29563;374
101501;gm. Bolimów;skierniewicki;Skierniewice;3848;3095;3065;30
101502;gm. Głuchów;skierniewicki;Skierniewice;5573;4481;4434;47
101503;gm. Godzianów;skierniewicki;Skierniewice;2575;2035;2022;13
101504;gm. Kowiesy;skierniewicki;Skierniewice;2858;2309;2213;96
101505;gm. Lipce Reymontowskie;skierniewicki;Skierniewice;3176;2563;2539;24
101506;gm. Maków;skierniewicki;Skierniewice;6032;4806;4746;60
101507;gm. Nowy Kawęczyn;skierniewicki;Skierniewice;3344;2710;2646;64
101508;gm. Skierniewice;skierniewicki;Skierniewice;7562;5930;5899;31
101509;gm. Słupia;skierniewicki;Skierniewice;2531;2008;1999;9
Powiat tomaszowski;;;;108581;88865;88082;783
101601;m. Tomaszów Mazowiecki;tomaszowski;Skierniewice;54967;45806;45567;239
101602;gm. Będków;tomaszowski;Skierniewice;3226;2644;2628;16
101603;gm. Budziszewice;tomaszowski;Skierniewice;2128;1690;1644;46
101604;gm. Czerniewice;tomaszowski;Skierniewice;4969;3994;3959;35
101605;gm. Inowłódz;tomaszowski;Skierniewice;3695;3102;3055;47
101606;gm. Lubochnia;tomaszowski;Skierniewice;6965;5498;5373;125
101607;gm. Rokiciny;tomaszowski;Skierniewice;5997;4809;4735;74
101608;gm. Rzeczyca;tomaszowski;Skierniewice;4581;3748;3688;60
101609;gm. Tomaszów Mazowiecki;tomaszowski;Skierniewice;11295;8958;8891;67
101610;gm. Ujazd;tomaszowski;Skierniewice;7544;6034;6014;20
101611;gm. Żelechlinek;tomaszowski;Skierniewice;3214;2582;2528;54
Powiat wieluński;;;;73516;60227;59761;466
101701;gm. Biała;wieluński;Sieradz;5370;4322;4297;25
101702;gm. Czarnożyły;wieluński;Sieradz;4407;3588;3577;11
101703;gm. Konopnica;wieluński;Sieradz;3646;3020;2924;96
101704;gm. Mokrsko;wieluński;Sieradz;5233;4243;4215;28
101705;gm. Osjaków;wieluński;Sieradz;4708;3748;3692;56
101706;gm. Ostrówek;wieluński;Sieradz;4447;3587;3533;54
101707;gm. Pątnów;wieluński;Sieradz;6387;5171;5103;68
101708;gm. Skomlin;wieluński;Sieradz;3184;2558;2543;15
101709;gm. Wieluń;wieluński;Sieradz;29595;24668;24592;76
101710;gm. Wierzchlas;wieluński;Sieradz;6539;5322;5285;37
Powiat wieruszowski;;;;41185;33350;33149;201
101801;gm. Bolesławiec;wieruszowski;Sieradz;3967;3179;3158;21
101802;gm. Czastary;wieruszowski;Sieradz;3932;3156;3141;15
101803;gm. Galewice;wieruszowski;Sieradz;6066;4882;4846;36
101804;gm. Lututów;wieruszowski;Sieradz;4443;3572;3542;30
101805;gm. Łubnice;wieruszowski;Sieradz;3954;3263;3258;5
101806;gm. Sokolniki;wieruszowski;Sieradz;5077;4063;4043;20
101807;gm. Wieruszów;wieruszowski;Sieradz;13746;11235;11161;74
Powiat zduńskowolski;;;;62132;50886;50593;293
101901;m. Zduńska Wola;zduńskowolski;Sieradz;37549;31217;31084;133
101902;gm. Szadek;zduńskowolski;Sieradz;7119;5740;5680;60
101903;gm. Zapolice;zduńskowolski;Sieradz;5336;4252;4192;60
101904;gm. Zduńska Wola;zduńskowolski;Sieradz;12128;9677;9637;40
Powiat zgierski;;;;156671;128358;126551;1807
102001;m. Głowno;zgierski;Łódź;13022;10978;10888;90
102002;m. Ozorków;zgierski;Łódź;17364;14364;14307;57
102003;m. Zgierz;zgierski;Łódź;50135;41812;41561;251
102004;gm. Aleksandrów Łódzki;zgierski;Łódź;32141;25436;25036;400
102005;gm. Głowno;zgierski;Łódź;4647;3842;3818;24
102006;gm. Ozorków;zgierski;Łódź;6932;5652;5532;120
102007;gm. Parzęczew;zgierski;Łódź;5142;4166;3985;181
102008;gm. Stryków;zgierski;Łódź;12516;10108;9916;192
102009;gm. Zgierz;zgierski;Łódź;14772;12000;11508;492
Powiat brzeziński;;;;29631;24071;23836;235
102101;m. Brzeziny;brzeziński;Łódź;11669;9532;9483;49
102102;gm. Brzeziny;brzeziński;Łódź;5758;4618;4535;83
102103;gm. Dmosin;brzeziński;Łódź;4355;3588;3527;61
102104;gm. Jeżów;brzeziński;Łódź;3250;2638;2613;25
102105;gm. Rogów;brzeziński;Łódź;4599;3695;3678;17
Miasto na prawach powiatu;;;;;;;
106101;m. Łódź;Łódź;Łódź;584496;492376;487711;4663
Miasto na prawach powiatu;;;;;;;
106201;m. Piotrków Trybunalski;Piotrków Trybunalski;Piotrków Trybunalski;65481;54368;53958;410
