Kod TERYT;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
140609;gm. Pniewy;grójecki;Radom;4803;3800;3634;166
140611;gm. Warka;grójecki;Radom;18536;14825;14729;96
Powiat kozienicki;;;;58294;47923;47085;838
140701;gm. Garbatka-Letnisko;kozienicki;Radom;4864;4051;3951;100
140702;gm. Głowaczów;kozienicki;Radom;7136;5761;5603;158
140703;gm. Gniewoszów;kozienicki;Radom;3744;3041;3011;30
140704;gm. Grabów nad Pilicą;kozienicki;Radom;3953;3181;3034;147
140705;gm. Kozienice;kozienicki;Radom;27952;23246;23133;113
140706;gm. Magnuszew;kozienicki;Radom;6795;5459;5244;215
140707;gm. Sieciechów;kozienicki;Radom;3850;3184;3109;75
Powiat legionowski;;;;118453;92762;89483;3279
140801;m. Legionowo;legionowski;Warszawa;49415;39519;38946;573
140802;gm. Jabłonna;legionowski;Warszawa;19756;15123;14444;679
140803;gm. Nieporęt;legionowski;Warszawa;15282;11987;11192;795
140804;gm. Serock;legionowski;Warszawa;16307;12851;12085;766
140805;gm. Wieliszew;legionowski;Warszawa;17693;13282;12816;466
Powiat lipski;;;;32830;27154;26962;192
140901;gm. Chotcza;lipski;Radom;2299;1903;1879;24
140902;gm. Ciepielów;lipski;Radom;5486;4432;4408;24
140903;gm. Lipsko;lipski;Radom;10425;8728;8686;42
140904;gm. Rzeczniów;lipski;Radom;4231;3475;3460;15
140905;gm. Sienno;lipski;Radom;5621;4626;4575;51
140906;gm. Solec nad Wisłą;lipski;Radom;4768;3990;3954;36
Powiat łosicki;;;;29873;24213;23996;217
141001;gm. Huszlew;łosicki;Siedlce;2751;2183;2167;16
141002;gm. Łosice;łosicki;Siedlce;10566;8530;8487;43
141003;gm. Olszanka;łosicki;Siedlce;2925;2321;2306;15
141004;gm. Platerów;łosicki;Siedlce;4640;3725;3701;24
141005;gm. Sarnaki;łosicki;Siedlce;4419;3752;3653;99
141006;gm. Stara Kornica;łosicki;Siedlce;4572;3702;3682;20
Powiat makowski;;;;43197;34907;34495;412
141101;m. Maków Mazowiecki;makowski;Ostrołęka;8869;7295;7249;46
141102;gm. Czerwonka;makowski;Ostrołęka;2620;2090;2046;44
141103;gm. Karniewo;makowski;Ostrołęka;5062;4057;4025;32
141104;gm. Krasnosielc;makowski;Ostrołęka;6185;4934;4900;34
141105;gm. Młynarze;makowski;Ostrołęka;1672;1333;1313;20
141106;gm. Płoniawy-Bramura;makowski;Ostrołęka;5111;4163;4123;40
141107;gm. Różan;makowski;Ostrołęka;4369;3537;3439;98
141108;gm. Rzewnie;makowski;Ostrołęka;2587;2097;2046;51
141109;gm. Sypniewo;makowski;Ostrołęka;3117;2502;2488;14
141110;gm. Szelków;makowski;Ostrołęka;3605;2899;2866;33
Powiat miński;;;;150869;118405;116473;1932
141201;m. Mińsk Mazowiecki;miński;Siedlce;37836;29931;29689;242
141204;gm. Cegłów;miński;Siedlce;5941;4722;4673;49
141205;gm. Dębe Wielkie;miński;Siedlce;11086;8393;8133;260
141206;gm. Dobre;miński;Siedlce;5928;4718;4608;110
141207;gm. Halinów;miński;Siedlce;16334;12506;12165;341
141208;gm. Jakubów;miński;Siedlce;5089;3941;3883;58
141209;gm. Kałuszyn;miński;Siedlce;5551;4483;4444;39
141210;gm. Latowicz;miński;Siedlce;5265;4148;4120;28
141211;gm. Mińsk Mazowiecki;miński;Siedlce;15700;12177;12074;103
141212;gm. Mrozy;miński;Siedlce;8543;6792;6726;66
141213;gm. Siennica;miński;Siedlce;7473;5748;5663;85
141214;gm. Stanisławów;miński;Siedlce;6866;5377;5226;151
141215;m. Sulejówek;miński;Siedlce;19257;15469;15069;400
Powiat mławski;;;;69121;55931;55417;514
141301;m. Mława;mławski;Ciechanów;29095;23605;23506;99
141302;gm. Dzierzgowo;mławski;Ciechanów;2847;2298;2272;26
141303;gm. Lipowiec Kościelny;mławski;Ciechanów;4653;3795;3763;32
141304;gm. Radzanów;mławski;Ciechanów;3214;2600;2517;83
